"Authors","Year","Title","Journal","Doi","URL","Human","No access","Lat_Deg","Lat_Min","Lat_Sec","Lat_NS","Lon_Deg","Lon_Min","Lon_Sec","Lon_EW","Location","Habitat","Target_Habitat","Experiment","Sample_Diameter_mm","Sample_Area_mm2","Sample_Depth_mm","Sample_Volume_mm3","Sample_Weight_g","Number_Sites","Samples_Per_Site","Total_Number_Samples","Method","Method_Volume_mm3","Method_Volume_Fraction","Method_Weight_g","Total_Seeds","Total_Species","Seed_density_m2","Seed_density_litre","Pos_Species","Neg_Species","Comments","Action required","","","","","","","","","","","","","",""
"Chu, H; Zhang, CP; Dong, QM; Shang, ZH; Degen, AA; Yang, XX; Yu, Y; Yang, ZZ; Zhang, YF","2019","The effect of grazing intensity and season on the soil seed bank and its relation with above-ground vegetation on the alpine steppe","AGRICULTURE ECOSYSTEMS & ENVIRONMENT","10.1016/j.agee.2019.106622","http://doi.org/10.1016/j.agee.2019.106622","AA","","37","21","","N","100","4","","E","","Grassland","","1","","","150","","","6","","972","Emergence","","","","11849","36","","","","","Grazing pressure experiment","Emailed: sample area","","","","","","","","","","","","","",""
"Gu, RT; Song, XY; Zhou, Y; Zhang, XM; Xu, SC; Xu, S; Yue, SD; Zhang, Y; Zhu, SY","2019","In situ investigation of the influence of desiccation on sediment seed banks and population recruitment of the seagrass Ruppia sinensis in the Yellow River Delta, China","MARINE POLLUTION BULLETIN","10.1016/j.marpolbul.2019.110620","http://doi.org/10.1016/j.marpolbul.2019.110620","AA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Kelly, A; Lacroix, C","2019","Effects of seed age and dormancy-breaking treatments on the viability and germination of the Gulf of Saint Lawrence aster (Symphyotrichum laurentianum)","BOTANY","10.1139/cjb-2019-0049","http://doi.org/10.1139/cjb-2019-0049","AA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Hernandez-Esteban, A; Rolo, V; Lopez-Diaz, ML; Moreno, G","2019","Long-term implications of sowing legume-rich mixtures for plant diversity of Mediterranean wood pastures","AGRICULTURE ECOSYSTEMS & ENVIRONMENT","10.1016/j.agee.2019.106686","http://doi.org/10.1016/j.agee.2019.106686","AA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Sellinger, T; Muller, J; Hosel, V; Tellier, A","2019","Are the better cooperators dormant or quiescent?","MATHEMATICAL BIOSCIENCES","10.1016/j.mbs.2019.108272","http://doi.org/10.1016/j.mbs.2019.108272","AA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Hattermann, D; Eckstein, RL; Elstner, C; Bernhardt-Romermann, M","2019","The contribution of different habitat types to species diversity of Baltic uplift islands","BASIC AND APPLIED ECOLOGY","10.1016/j.baae.2019.09.004","http://doi.org/10.1016/j.baae.2019.09.004","AA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Szewczyk, TM; Lee, T; Ducey, MJ; Aiello-Lammens, ME; Bibaud, H; Allen, JM","2019","Local management in a regional context: Simulations with process-based species distribution models","ECOLOGICAL MODELLING","10.1016/j.ecolmodel.2019.108827","http://doi.org/10.1016/j.ecolmodel.2019.108827","AA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Miller, RG; Tangney, R; Enright, NJ; Fontaine, JB; Merritt, DJ; Ooi, MKJ; Ruthrof, KX; Miller, B","2019","Mechanisms of Fire Seasonality Effects on Plant Populations","TRENDS IN ECOLOGY & EVOLUTION","10.1016/j.tree.2019.07.009","http://doi.org/10.1016/j.tree.2019.07.009","AA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Bowman, DMJS; Bliss, A; Bowman, CJW; Prior, LD","2019","Fire caused demographic attrition of the Tasmanian palaeoendemic conifer Athrotaxis cupressoides","AUSTRAL ECOLOGY","10.1111/aec.12789","http://doi.org/10.1111/aec.12789","AA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Bordon, NG; Nogueira, A; Leal, N; Higuchi, N","2019","Blowdown disturbance effect on the density, richness and species composition of the seed bank in Central Amazonia","FOREST ECOLOGY AND MANAGEMENT","10.1016/j.foreco.2019.117633","http://doi.org/10.1016/j.foreco.2019.117633","AA","","-2.562243","","","","-60.267294","","","","Central Amazonia","Forest","","","200","","50","","","1","160","","Emergence","","","","3450","86","","","","","Forest recovering from blowdown. Natural disturbance so not using target habitat","","","","","","","","","","","","","","",""
"Bordon, NG; Nogueira, A; Leal, N; Higuchi, N","2019","Blowdown disturbance effect on the density, richness and species composition of the seed bank in Central Amazonia","FOREST ECOLOGY AND MANAGEMENT","10.1016/j.foreco.2019.117633","http://doi.org/10.1016/j.foreco.2019.117633","AA","","-2.613935","","","","-60.203503","","","","Central Amazonia","Forest","","","200","","50","","","1","160","","Emergence","","","","2502","90","","","","","","","","","","","","","","","","","","","",""
"Menezes, GSC; Cazetta, E; Dodonov, P","2019","Vegetation structure across fire edges in a Neotropical rain forest","FOREST ECOLOGY AND MANAGEMENT","10.1016/j.foreco.2019.117587","http://doi.org/10.1016/j.foreco.2019.117587","AA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Souza, JNE; Agostinho, CD; Ribeiro, LM; Azevedo, AM; Lopes, PSN","2019","Edaphic and climatic control of macauba palm seed bank dynamics","INDUSTRIAL CROPS AND PRODUCTS","10.1016/j.indcrop.2019.111802","http://doi.org/10.1016/j.indcrop.2019.111802","AA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Breman, E; Detraz-Meroz, J; Terry, J; Lambelet, C","2019","Ex situ conservation storage potential of Saxifraga cernua (Saxifragaceae) bulbils from alpine species","BIOLOGIA","10.2478/s11756-019-00338-4","http://doi.org/10.2478/s11756-019-00338-4","AA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Franks, SJ; Sekor, MR; Davey, S; Weis, AE","2019","Artificial seed aging reveals the invisible fraction: Implications for evolution experiments using the resurrection approach","EVOLUTIONARY ECOLOGY","10.1007/s10682-019-10007-2","http://doi.org/10.1007/s10682-019-10007-2","AA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Edwards, CE; Albrecht, MA; Bassuner, B; Yatskievych, GA","2019","Population genetic analysis reveals a predominantly selfing mating system and strong genetic structuring in a naturally fragmented, threatened plant","CONSERVATION GENETICS","10.1007/s10592-019-01226-9","http://doi.org/10.1007/s10592-019-01226-9","AA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Liu, XS; He, YH; Xiao, YF; Wang, Y; Jiang, YH; Jiang, Y","2019","Soil seed burial and competition with surrounding plants determine the emergence and development of seedling of an endangered species Horsfieldia hainanensis Merr. in China","SCIENTIFIC REPORTS","10.1038/s41598-019-54644-7","http://doi.org/10.1038/s41598-019-54644-7","AA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Godefroid, S; Van de Vyver, A","2020","Seed germination ecology of Viola calaminaria, an endangered metallophyte with a narrow distribution","PLANT SPECIES BIOLOGY","10.1111/1442-1984.12259","http://doi.org/10.1111/1442-1984.12259","AA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Chacko, XS","","Creative Practices of Care: The Subjectivity, Agency, and Affective Labor of Preparing Seeds for Long-term Banking","CULTURE AGRICULTURE FOOD AND ENVIRONMENT","10.1111/cuag.12237","http://doi.org/10.1111/cuag.12237","AA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Curry, HA","","Introduction: The Collection and Conservation of Plant Genetic Resources, Past and Present","CULTURE AGRICULTURE FOOD AND ENVIRONMENT","10.1111/cuag.12240","http://doi.org/10.1111/cuag.12240","AA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Lewis-Jones, KE","","The First Step Is to Bring It Into Our Hands: Wild Seed Conservation, the Stewardship of Species Survival, and Gardening the Anthropocene at the Millennium Seed Bank Partnership","CULTURE AGRICULTURE FOOD AND ENVIRONMENT","10.1111/cuag.12238","http://doi.org/10.1111/cuag.12238","AA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Peres, S","","Seed Banking as Cryopower: A Cryopolitical Account of the Work of the International Board of Plant Genetic Resources, 1973-1984","CULTURE AGRICULTURE FOOD AND ENVIRONMENT","10.1111/cuag.12236","http://doi.org/10.1111/cuag.12236","AA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Guan, B; Chen, M; Elsey-Quirk, T; Yang, SS; Shang, WT; Li, YZ; Tian, XY; Han, GX","2019","Soil seed bank and vegetation differences following channel diversion in the Yellow River Delta","SCIENCE OF THE TOTAL ENVIRONMENT","10.1016/j.scitotenv.2019.133600","http://doi.org/10.1016/j.scitotenv.2019.133600","AA","","37","53","","N","118","56","","E","","Wetland","","","70","","100","","","2","36","","Emergence","","","","","23","1565","","","","Density calculated from averages given across different sites","","","","","","","","","","","","","","",""
"Edesi, J; Tolonen, J; Ruotsalainen, AL; Aspi, J; Haggman, H","","Cryopreservation enables long-term conservation of critically endangered species Rubus humulifolius","BIODIVERSITY AND CONSERVATION","10.1007/s10531-019-01883-9","http://doi.org/10.1007/s10531-019-01883-9","AA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Gazaix, A; Klesczewski, M; Bouchet, MA; Cartereau, M; Molina, J; Michaud, H; Muller, SD; Pirsoul, L; Gauthier, P; Grillas, P; Thompson, JD","","A history of discoveries and disappearances of the rare annual plant Lythrum thesioides M.Bieb.: new insights into its ecology and biology","BOTANY LETTERS","10.1080/23818107.2019.1684358","http://doi.org/10.1080/23818107.2019.1684358","AA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"van Regteren, M; Colosimo, I; de Vries, P; van Puijenbroek, MEB; Freij, VS; Baptist, MJ; Elschot, K","","Limited seed retention during winter inhibits vegetation establishment in spring, affecting lateral marsh expansion capacity","ECOLOGY AND EVOLUTION","10.1002/ece3.5781","http://doi.org/10.1002/ece3.5781","AA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Grewel, BJ; Gillard, MB; Futrell, CJ; Castillo, JM","2019","Seedling Emergence from Seed Banks in Ludwigia hexapetala-Invaded Wetlands: Implications for Restoration","PLANTS-BASEL","10.3390/plants8110451","http://doi.org/10.3390/plants8110451","AA","","38","26","","N","122","43","","W","","Wetland","","","48","","100","","","4","20","","Emergence","","","","4075","69","","","","20","Exotics","","","","","","","","","","","","","","",""
"Beckie, HJ; Busi, R; Bagavathiannan, MV; Martin, SL","2019","Herbicide resistance gene flow in weeds: Under-estimated and under-appreciated","AGRICULTURE ECOSYSTEMS & ENVIRONMENT","10.1016/j.agee.2019.06.005","http://doi.org/10.1016/j.agee.2019.06.005","AA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Migicovsky, Z; Warschefsky, E; Klein, LL; Miller, AJ","2019","Using Living Germplasm Collections to Characterize, Improve, and Conserve Woody Perennials","CROP SCIENCE","10.2135/cropsci2019.05.0353","http://doi.org/10.2135/cropsci2019.05.0353","AA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Cruz, O; Garcia-Duro, J; Casal, M; Reyes, O","2019","Role of serotiny on Pinus pinaster Aiton germination and its relation to mother plant age and fire severity","IFOREST-BIOGEOSCIENCES AND FORESTRY","10.3832/ifor2968-012","http://doi.org/10.3832/ifor2968-012","AA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Morais, MC; Oliveira, P; Marchante, H; Freitas, H; Marchante, E","2019","Is richer always better? Consequences of invaded N-rich soils for the early growth of a native and an invasive species","FLORA","10.1016/j.flora.2019.151469","http://doi.org/10.1016/j.flora.2019.151469","AA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Omomoh, B; Adekunle, V; Lawal, A; Akinbi, O","2019","Tree species diversity and regeneration potential of soil seed bank in Akure forest reserve, Ondo state, Nigeria","TAIWANIA","10.6165/tai.2019.64.409","http://doi.org/10.6165/tai.2019.64.409","AA","","7","16","41.77","N","5","2","2.01","E","","Forest","","","","","30","","","1","15","","Emergence","","","","","9","71","","","","","Researchgate: sampling and total richness - 114sp/m2 in total for full 90mm core, but species data separated per depth.","","","","","","","","","","","","","",""
"Bhatt, A; Bhat, NR; Lozano-Isla, F; Gallacher, D; Santo, A; Batista-Silva, W; Fernandes, D; Pompelli, MF","2019","Germination asynchrony is increased by dual seed bank presence in two desert perennial halophytes","BOTANY","10.1139/cjb-2019-0071","http://doi.org/10.1139/cjb-2019-0071","AA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Volis, S; Dorman, M","2019","Effects of soil type, period of burial and moisture levels on the germination of Oncocyclus iris seeds","PLANT ECOLOGY","10.1007/s11258-019-00971-8","http://doi.org/10.1007/s11258-019-00971-8","AA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Grace, JL; Rideout-Hanzak, S; Stanko, R; Acosta-Martinez, V; Ortega-S, JA; Wester, DB","2019","Soil seed bank characteristics in rangelands with increasing invasion of Heteropogon contortus or Eragrostis Lehmanniana","JOURNAL OF ARID ENVIRONMENTS","10.1016/j.jaridenv.2019.104009","http://doi.org/10.1016/j.jaridenv.2019.104009","AA","","27.03998","","","","-98.6799","","","","Our study sites were located on a private ranch in Jim Hogg County, Texas, approximately 29 km south of Hebbronville, Texas","Grassland","","","","","127","","","15","6","","Emergence","","","","","18","","","","","","Emailed: Location, sample size and number of seeds","","","","","","","","","","","","","",""
"Quintana-Ascencio, PF; Koontz, SM; Ochocki, BM; Sclater, VL; L?pez-Borghesi, F; Li, HY; Menges, ES","2019","Assessing the roles of seed bank, seed dispersal and historical disturbances for metapopulation persistence of a pyrogenic herb","JOURNAL OF ECOLOGY","10.1111/1365-2745.13206","http://doi.org/10.1111/1365-2745.13206","AA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Schroder, R; Mohri, M; Kiehl, K","2019","AMF inoculation of green roof substrate improves plant performance but reduces drought resistance of native dry grassland species","ECOLOGICAL ENGINEERING","10.1016/j.ecoleng.2019.105583","http://doi.org/10.1016/j.ecoleng.2019.105583","AA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Holtmann, L; Kerler, K; Wolfgart, L; Schmidt, C; Fartmann, T","2019","Habitat heterogeneity determines plant species richness in urban stormwater ponds","ECOLOGICAL ENGINEERING","10.1016/j.ecoleng.2019.07.035","http://doi.org/10.1016/j.ecoleng.2019.07.035","AA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Cohen, O; Gamliel, A; Katan, J; Shubert, I; Guy, A; Weber, G; Riov, J","2019","Soil solarization based on natural soil moisture: a practical approach for reducing the seed bank of invasive plants in wetlands","NEOBIOTA","10.3897/neobiota.51.36838","http://doi.org/10.3897/neobiota.51.36838","AA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Pang, CC; Lo, WF; Yan, RWM; Hau, BCH","","Plant community composition on landfill sites after multiple years of ecological restoration","LANDSCAPE RESEARCH","10.1080/01426397.2019.1674266","http://doi.org/10.1080/01426397.2019.1674266","AA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Bachman, SP; Wilkin, P; Reader, T; Field, R; Weber, O; Nordal, I; Demissew, S","","Extinction risk and conservation gaps for Aloe (Asphodelaceae) in the Horn of Africa","BIODIVERSITY AND CONSERVATION","10.1007/s10531-019-01870-0","http://doi.org/10.1007/s10531-019-01870-0","AA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Downing, WM; Krawchuk, MA; Coop, JD; Meigs, GW; Haire, SL; Walker, RB; Whitman, E; Chong, G; Miller, C; Tortorelli, C","","How do plant communities differ between fire refugia and fire-generated early-seral vegetation?","JOURNAL OF VEGETATION SCIENCE","10.1111/jvs.12814","http://doi.org/10.1111/jvs.12814","AA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Ortiz-Rodriguez, IA; Raventos, J; Mujica, E; Gonzalez-Hernandez, E; Vega-Pena, E; Ortega-Larrocea, P; Bonet, A; Merow, C","","Spatiotemporal effects of Hurricane Ivan on an endemic epiphytic orchid: 10 years of follow-up","PLANT ECOLOGY & DIVERSITY","10.1080/17550874.2019.1673495","http://doi.org/10.1080/17550874.2019.1673495","AA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Deroulers, P; Gauffre, B; Emeriau, S; Harismendy, A; Bretagnolle, V","","Towards a standardized experimental protocol to investigate interactions between weed seeds and ground beetles (Carabidae, Coleoptera)","ARTHROPOD-PLANT INTERACTIONS","10.1007/s11829-019-09721-z","http://doi.org/10.1007/s11829-019-09721-z","AA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Malfasi, F; Convey, P; Zaccara, S; Cannone, N","2020","Establishment and eradication of an alien plant species in Antarctica: Poa annua at Signy Island","BIODIVERSITY AND CONSERVATION","10.1007/s10531-019-01877-7","http://doi.org/10.1007/s10531-019-01877-7","AA","","60","43","31","S","45","36","16","W","","Grassland","","","100","","50","","","1","7","","Extraction","","","","0","0","","","","","","","","","","","","","","","","","","","",""
"Gairola, S; El-Keblawy, A","","Seed germination behavior of five Resedaceae species from arid Arabian desert: gibberellic acid and light effects","PLANT BIOSYSTEMS","10.1080/11263504.2019.1674397","http://doi.org/10.1080/11263504.2019.1674397","AA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Porteous, G; Nesbitt, M; Kendon, JP; Prychid, CJ; Stuppy, W; Conejero, M; Ballesteros, D","2019","Assessing Extreme Seed Longevity: The Value of Historic Botanical Collections to Modern Research","FRONTIERS IN PLANT SCIENCE","10.3389/fpls.2019.01181","http://doi.org/10.3389/fpls.2019.01181","AA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Yannelli, FA; Novoa, A; Lorenzo, P; Rodriguez, J; Le Roux, JJ","","No evidence for novel weapons: biochemical recognition modulates early ontogenetic processes in native species and invasive acacias","BIOLOGICAL INVASIONS","10.1007/s10530-019-02110-w","http://doi.org/10.1007/s10530-019-02110-w","AA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Ferreiro, N; Satti, P; Gonzalez-Polo, M; Mazzarino, MJ","","Composts promote short-term rehabilitation in a Patagonian roadside affected by tephra deposition","RESTORATION ECOLOGY","10.1111/rec.13034","http://doi.org/10.1111/rec.13034","AA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Zhang, XM; Lin, HY; Song, XY; Xu, SC; Yue, SD; Gu, RT; Xu, S; Zhu, SY; Zhao, YJ; Zhang, SY; Han, GX; Wang, AD; Sun, T; Zhou, Y","2019","A unique meadow of the marine angiosperm Zostera japonica, covering a large area in the turbid intertidal Yellow River Delta, China","SCIENCE OF THE TOTAL ENVIRONMENT","10.1016/j.scitotenv.2019.05.320","http://doi.org/10.1016/j.scitotenv.2019.05.320","AA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Jerney, J; Ahonen, SA; Hakanen, P; Suikkanen, S; Kremp, A","2019","Generalist Life Cycle Aids Persistence of Alexandrium ostenfeldii (Dinophyceae) in Seasonal Coastal Habitats of the Baltic Sea(1)","JOURNAL OF PHYCOLOGY","10.1111/jpy.12919","http://doi.org/10.1111/jpy.12919","AA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Tejeda-Landero, VM; Sanchez-Velasquez, LR; Viveros-Viveros, H; Aparicio-Renteria, A; Flores-Peredo, R","2019","SEED BANK FORMATION AND REMOVAL OF PINUS HARTWEGII (PINACEAE) SEEDS ALONG AN ALTITUDINAL GRADIENT IN THE COFRE DE PEROTE NATIONAL PARK, VERACRUZ, MEXICO","BOTANICAL SCIENCES","10.17129/botsci.2204","http://doi.org/10.17129/botsci.2204","AA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
