"Author","Year","Title","Journal","Doi","URL"
"Lee, KM; Ranta, P; Saarikivi, J; Kutnar, L; Vres, B; Dzhus, M; Mutanen, M; Kvist, L",2020,"Using genomic information for management planning of an endangered perennial, Viola uliginosa","ECOLOGY AND EVOLUTION","10.1002/ece3.6093","http://doi.org/10.1002/ece3.6093"
"Sagario, MC; Cueto, VR; Zarco, A; Pol, R; Marone, L",2020,"Predicting how seed-eating passerines respond to cattle grazing in a semi-arid grassland using seed preferences and diet","AGRICULTURE ECOSYSTEMS & ENVIRONMENT","10.1016/j.agee.2019.106736","http://doi.org/10.1016/j.agee.2019.106736"
"Erfanzadeh, R; Palaye, ASA; Ghelichnia, H",2020,"Shrub effects on germinable soil seed bank in overgrazed rangelands","PLANT ECOLOGY & DIVERSITY","10.1080/17550874.2020.1718233","http://doi.org/10.1080/17550874.2020.1718233"
"Chetan, HC; Ganesan, R; Ganesh, T",2019,"Seed and seedling establishment in abandoned tea plantations role of ecological and edaphic factors, southern Western Ghats, India","TROPICAL ECOLOGY","10.1007/s42965-020-00052-2","http://doi.org/10.1007/s42965-020-00052-2"
"Manolaki, P; Guo, K; Vieira, C; Papastergiadou, E; Riis, T",2020,"Hydromorphology as a controlling factor of macrophytes assemblage structure and functional traits in the semi-arid European Mediterranean streams","SCIENCE OF THE TOTAL ENVIRONMENT","10.1016/j.scitotenv.2019.134658","http://doi.org/10.1016/j.scitotenv.2019.134658"
"Hayasaka, D; Nakagawa, M; Maebara, Y; Kurazono, T; Hashimoto, K",2020,"Seed germination characteristics of invasive Spartina alterniflora Loisel in Japan: implications for its effective management","SCIENTIFIC REPORTS","10.1038/s41598-020-58879-7","http://doi.org/10.1038/s41598-020-58879-7"
"Leon-Lobos, P; Bustamante-Sanchez, MA; Nelson, CR; Alarcon, D; Hasbun, R; Way, M; Pritchard, HW; Armesto, JJ",2020,"Lack of adequate seed supply is a major bottleneck for effective ecosystem restoration in Chile: friendly amendment to Bannister et al. (2018)","RESTORATION ECOLOGY","10.1111/rec.13113","http://doi.org/10.1111/rec.13113"
"Anfang, C; Schuster, MJ; Wragg, PD; Reich, PB",2020,"Increased light availability due to forestry mowing of invasive European buckthorn promotes its regeneration","RESTORATION ECOLOGY","10.1111/rec.13107","http://doi.org/10.1111/rec.13107"
"Lipoma, ML; Fortunato, V; Enrico, L; Diaz, S",2020,"Where does the forest come back from? Soil and litter seed banks and the juvenile bank as sources of vegetation resilience in a semiarid Neotropical forest","JOURNAL OF VEGETATION SCIENCE","10.1111/jvs.12842","http://doi.org/10.1111/jvs.12842"
"Shinoda, Y; Akasaka, M",2020,"Interaction exposure effects of multiple disturbances: plant population resilience to ungulate grazing is reduced by creation of canopy gaps","SCIENTIFIC REPORTS","10.1038/s41598-020-58672-6","http://doi.org/10.1038/s41598-020-58672-6"
"Zenni, RD; da Cunha, WL; Musso, C; de Souza, JV; Nardoto, GB; Miranda, HS",2020,"Synergistic impacts of co-occurring invasive grasses cause persistent effects in the soil-plant system after selective removal","FUNCTIONAL ECOLOGY","10.1111/1365-2435.13524","http://doi.org/10.1111/1365-2435.13524"
"Souza-Alonso, P; Puig, CG; Pedrol, N; Freitas, H; Rodriguez-Echeverria, S; Lorenzo, P",2020,"Exploring the use of residues from the invasiveAcaciasp. for weed control","RENEWABLE AGRICULTURE AND FOOD SYSTEMS","10.1017/S1742170518000170","http://doi.org/10.1017/S1742170518000170"
"Bao, F; Elsey-Quirk, T; de Assis, MA; de Souza, EB; Pott, A",2020,"Do Aquatic Macrophytes Limit the Invasion Potential of Exotic Species in Pantanal Grasslands?","WETLANDS","10.1007/s13157-019-01168-5","http://doi.org/10.1007/s13157-019-01168-5"
"Chable, V; Nuijten, E; Costanzo, A; Goldringer, I; Bocci, R; Oehen, B; Rey, F; Fasoula, D; Feher, J; Keskitalo, M; Koller, B; Omirou, M; Mendes-Moreira, P; van Frank, G; Jika, AKN; Thomas, M; Rossi, A",2020,"Embedding Cultivated Diversity in Society for Agro-Ecological Transition","SUSTAINABILITY","10.3390/su12030784","http://doi.org/10.3390/su12030784"
"Orlando, F; Alali, S; Vaglia, V; Pagliarino, E; Bacenetti, J; Bocchi, S",2020,"Participatory approach for developing knowledge on organic rice farming: Management strategies and productive performance","AGRICULTURAL SYSTEMS","10.1016/j.agsy.2019.102739","http://doi.org/10.1016/j.agsy.2019.102739"
"Sharma, P; Singh, MK; Verma, K; Prasad, SK",2020,"Changes in the Weed Seed Bank in Long-Term Establishment Methods Trials under Rice-Wheat Cropping System","AGRONOMY-BASEL","10.3390/agronomy10020292","http://doi.org/10.3390/agronomy10020292"
"Morsing, J; Kepfer-Rojas, S; Baastrup-Spohr, L; Rodriguez, AL; Raulund-Rasmussen, K",2020,"Litter legacy after spruce plantation removal hampers initial vegetation establishment","BASIC AND APPLIED ECOLOGY","10.1016/j.baae.2019.11.006","http://doi.org/10.1016/j.baae.2019.11.006"
"Rusterholz, HP; Binggeli, D; Baur, B",2020,"Successful restoration of abandoned terraced vineyards and grasslands in Southern Switzerland","BASIC AND APPLIED ECOLOGY","10.1016/j.baae.2019.07.002","http://doi.org/10.1016/j.baae.2019.07.002"
"Bucharova, A; Krahulec, F",2020,"Native seed addition as an effective tool for post-invasion restoration","BASIC AND APPLIED ECOLOGY","10.1016/j.baae.2020.01.002","http://doi.org/10.1016/j.baae.2020.01.002"
"Shin, W; Kim, JH; Lee, EJ",2020,"Effect of native Suaeda japonica structure on the initial seed settlement of an invasive plant Spartina anglica","AQUATIC BOTANY","10.1016/j.aquabot.2019.103175","http://doi.org/10.1016/j.aquabot.2019.103175"
"Wade, R; Augyte, S; Harden, M; Nuzhdin, S; Yarish, C; Alberto, F",2020,"Macroalgal germplasm banking for conservation, food security, and industry","PLOS BIOLOGY","10.1371/journal.pbio.3000641","http://doi.org/10.1371/journal.pbio.3000641"
"Owen, RK; Webb, EB; Haukos, DA; Fritschi, FB; Goyne, KW",2020,"Barnyardgrass (Echinochloa crusgalli) emergence and growth in a changing climate in great plains wetlands","WETLANDS ECOLOGY AND MANAGEMENT","10.1007/s11273-019-09693-0","http://doi.org/10.1007/s11273-019-09693-0"
"da Rocha, SJSS; Comini, IB; de Morais, VT; Schettini, BLS; Villanova, PH; Alves, EBBM; Silva, LB; Jacovine, LAG; Torres, CMME",2020,"Ecological ICMS enables forest restoration in Brazil","LAND USE POLICY","10.1016/j.landusepol.2019.104381","http://doi.org/10.1016/j.landusepol.2019.104381"
"Zhao, GJ; Shen, YX; Liu, WY; Li, ZJ; Tan, BL; Zhao, ZM; Liu, J",2020,"Effects of shading and herb/liana eradication on the assembly and growth of woody species during soil translocation in Southwest China","ECOLOGICAL ENGINEERING","10.1016/j.ecoleng.2019.105704","http://doi.org/10.1016/j.ecoleng.2019.105704"
"Sousa-Ortega, C; Chamber, E; Urbano, JM; Izquierdo, J; Loureiro, I; Mari, AI; Cordero, F; Vargas, M; Saavedra, M; Lezaun, JA; Paramio, JA; Fernandez, JL; Torra, J; Royo-Esnal, A",2020,"Should emergence models for Lolium rigidum be changed throughout climatic conditions? The case of Spain","CROP PROTECTION","10.1016/j.cropro.2019.105012","http://doi.org/10.1016/j.cropro.2019.105012"
"Kottler, EJ; Gedan, K",2020,"Seeds of change: characterizing the soil seed bank of a migrating salt marsh","ANNALS OF BOTANY","10.1093/aob/mcz133","http://doi.org/10.1093/aob/mcz133"
"Mohammed, SA; Denboba, MA",2020,"Study of Soil Seed Banks in Ex-closures for Restoration of Degraded Lands in the Central Rift Valley of Ethiopia","SCIENTIFIC REPORTS","10.1038/s41598-020-57651-1","http://doi.org/10.1038/s41598-020-57651-1"
"Dietrich, P; Roeder, A; Cesarz, S; Eisenhauer, N; Ebeling, A; Schmid, B; Schulze, ED; Wagg, C; Weigelt, A; Roscher, C",2020,"Nematode communities, plant nutrient economy and life-cycle characteristics jointly determine plant monoculture performance over 12 years","OIKOS","10.1111/oik.06989","http://doi.org/10.1111/oik.06989"
"Gao, PL; Zhang, Z; Shen, JM; Mao, YX; Wei, SH; Wei, JG; Zuo, RL; Li, RH; Song, XL; Qiang, S",2020,"Weed seed bank dynamics responses to long-term chemical control in a rice-wheat cropping system","PEST MANAGEMENT SCIENCE","10.1002/ps.5731","http://doi.org/10.1002/ps.5731"
"Shabbir, A; Dhileepan, K; Zalucki, MP; Khan, N; Adkins, SW",2020,"Reducing the fitness of an invasive weed, Parthenium hysterophorus: Complementing biological control with plant competition","JOURNAL OF ENVIRONMENTAL MANAGEMENT","10.1016/j.jenvman.2019.109790","http://doi.org/10.1016/j.jenvman.2019.109790"
"Heydari, M; Moradizadeh, H; Omidipour, R; Mezbani, A; Pothier, D",2020,"Spatio-temporal changes in the understory heterogeneity, diversity, and composition after fires of different severities in a semiarid oak (Quercus brantii Lindl.) forest","LAND DEGRADATION & DEVELOPMENT","10.1002/ldr.3518","http://doi.org/10.1002/ldr.3518"
"Erfanzadeh, R; Hazhir, S; Jafari, M",2020,"Effect of cushion plants on the soil seed bank in overgrazed semiarid regions","LAND DEGRADATION & DEVELOPMENT","10.1002/ldr.3517","http://doi.org/10.1002/ldr.3517"
"Yamazaki, H; Yoshida, T",2020,"Various scarification treatments produce different regeneration potentials for trees and forbs through changing soil properties","JOURNAL OF FOREST RESEARCH","10.1080/13416979.2019.1706798","http://doi.org/10.1080/13416979.2019.1706798"
"Mndela, M; Madakadze, CI; Nherera-Chokuda, F; Dube, S",2020,"Is the soil seed bank a reliable source for passive restoration of bush-cleared semi-arid rangelands of South Africa?","ECOLOGICAL PROCESSES","10.1186/s13717-019-0204-6","http://doi.org/10.1186/s13717-019-0204-6"
"Siebert, F; Klem, J; Van Coller, H",2020,"Forb community responses to an extensive drought in two contrasting land-use types of a semi-arid Lowveld savanna","AFRICAN JOURNAL OF RANGE & FORAGE SCIENCE","10.2989/10220119.2020.1726464","http://doi.org/10.2989/10220119.2020.1726464"
"Khan, AR; Goldringer, I; Thomas, M",2020,"Management Practices and Breeding History of Varieties Strongly Determine the Fine Genetic Structure of Crop Populations: A Case Study Based on European Wheat Populations","SUSTAINABILITY","10.3390/su12020613","http://doi.org/10.3390/su12020613"
"Mueller-Bieniek, A; Pyzel, J; Kapcia, M",2020,"Chenopodium Seeds in Open-Air Archaeological Sites - How to Not Throw the Baby Out with the Bathwater","ENVIRONMENTAL ARCHAEOLOGY","10.1080/14614103.2018.1536500","http://doi.org/10.1080/14614103.2018.1536500"
"Kassa, G; Molla, E; Abiyu, A",2020,"Effects of Eucalyptus tree plantations on soil seed bank and soil physicochemical properties of Qimbaba forest","COGENT FOOD & AGRICULTURE","10.1080/23311932.2019.1711297","http://doi.org/10.1080/23311932.2019.1711297"
"Marques, AR; Lima, LL; Garcia, QS; Atman, APF",2020,"A novel cellular automata approach: seed input/output of the alien species Leucaena leucocephala in the soil and the effects of climate changes","PLANT ECOLOGY","10.1007/s11258-019-00999-w","http://doi.org/10.1007/s11258-019-00999-w"
"Carthey, AJR; Blumstein, DT; Gallagher, R; Tetu, SG; Gillings, MR",2020,"Conserving the holobiont","FUNCTIONAL ECOLOGY","10.1111/1365-2435.13504","http://doi.org/10.1111/1365-2435.13504"
"Albrecht, H; Mademann, S; Weikl, H",2020,"Development of the arable vegetation 23 years after conversion from conventional to organic farming - experiences from a farm-scale case study in southern Germany","TUEXENIA","10.14471/2020.40.005","http://doi.org/10.14471/2020.40.005"
"Sondej, I",2020,"Impact of wild boar (Sus scrofa) rooting on a soil seed bank of oak-linden-hornbeam forest in the Bialowieza Forest","SYLWAN","10.26202/sylwan.2020033","http://doi.org/10.26202/sylwan.2020033"
"Green, JK; Norsworthy, JK; Walsh, MJ",2020,"Distribution of common cocklebur and palmer amaranth seed exiting the combine for harvest weed seed control in soybean","CROP FORAGE & TURFGRASS MANAGEMENT","10.1002/cft2.20064","http://doi.org/10.1002/cft2.20064"
"Nagy, KA; Henen, BT; Hillard, LS",2020,"Head-started Agassiz's desert tortoises Gopherus agassizii achieved high survival, growth, and body condition in natural field enclosures","ENDANGERED SPECIES RESEARCH","10.3354/esr01067","http://doi.org/10.3354/esr01067"
"Genievskaya, Y; Karelova, D; Abugalieva, S; Zhao, P; Chen, G; Turuspekov, Y",2020,"SSR-based evaluation of genetic diversity in populations of Agriophyllum squarrosum L. and Agriophyllum minus Fisch. & Mey. collected in South-East Kazakhstan","VAVILOVSKII ZHURNAL GENETIKI I SELEKTSII","10.18699/VJ20.664","http://doi.org/10.18699/VJ20.664"
"D'Amico-Damiao, V; Barroso, AAM; Alves, PLDA; Lemos, LB",2020,"Intercropping maize and succession crops alters the weed community in common bean under no-tillage","PESQUISA AGROPECUARIA TROPICAL","10.1590/1983-40632020v5065244","http://doi.org/10.1590/1983-40632020v5065244"
"Bargoena, LR; Cavalheiro, AL; Bianchini, E",2020,"Seed bank in reforestation, edge and interior of seasonal semi-deciduous forest renmant in southern Brazil","IHERINGIA SERIE BOTANICA","10.21826/2446-82312020v75e2020008","http://doi.org/10.21826/2446-82312020v75e2020008"
"de Sousa, GG; Otubo, BMR; Sorgato, JC; Soares, JS; Ribeiro, LM",2020,"Seed storage and agar concentrations on Brassavola tuberculata Hook. (Orchidaceae) in vitro culture","IHERINGIA SERIE BOTANICA","10.21826/2446-82312020v75e2020017","http://doi.org/10.21826/2446-82312020v75e2020017"
"Piveta, LB; Roma-Burgos, N; Noldin, JA; Refatti, JP; Oliveira, C; Avila, LA",2020,"Response of imidazolinone-resistant and -susceptible weedy rice populations to imazethapyr and increased atmospheric CO2","PLANTA DANINHA","10.1590/S0100-83582020380100078","http://doi.org/10.1590/S0100-83582020380100078"
"Teteryuk, LV; Degteva, SV; Kanev, VA; Valuyskikh, OE; Teteryuk, BY; Kulyugina, EE",2020,"RARE AND PROTECTED VASCULAR PLANTS IN YUGYD VA NATIONAL PARK (RUSSIA)","NATURE CONSERVATION RESEARCH","10.24189/ncr.2020.051","http://doi.org/10.24189/ncr.2020.051"
"Heydari, M; Omidipour, R; Greenlee, J",2020,"Biodiversity, a review of the concept, measurement, opportunities, and challenges","JOURNAL OF WILDLIFE AND BIODIVERSITY","10.22120/jwb.2020.123209.1124","http://doi.org/10.22120/jwb.2020.123209.1124"
"Maqsood, Q; Abbas, RN; Iqbal, MA; Serap, KA; Iqbal, A; El Sabagh, A",2020,"Overviewing of weed management practices to reduce weed seed bank and to increase maize yield","PLANTA DANINHA","10.1590/S0100-83582020380100075","http://doi.org/10.1590/S0100-83582020380100075"
"Sommerville, KD; Cuneo, P; Errington, G; Makinson, RO; Pederson, S; Phillips, G; Rollason, A; Viler, V; Offord, CA",2020,"Conservation in the wake of myrtle rust - a case study on two critically endangered Australian rainforest plants","PACIFIC CONSERVATION BIOLOGY","10.1071/PC19026","http://doi.org/10.1071/PC19026"
"Wang, M; Wang, SZ; Wang, GD; Jiang, M",2020,"Soil seed banks and restoration potential of tussock sedge meadows after farming in Changbai Mountain, China","MARINE AND FRESHWATER RESEARCH","10.1071/MF19025","http://doi.org/10.1071/MF19025"
"Tibugari, H; Chiduza, C; Mashingaidze, AB",2020,"A survey of problem weeds of sorghum and their management in two sorghum-producing districts of Zimbabwe","COGENT SOCIAL SCIENCES","10.1080/23311886.2020.1738840","http://doi.org/10.1080/23311886.2020.1738840"
"Hill, SJ; Auld, TD",2020,"Seed size an important factor for the germination response of legume seeds subjected to simulated post-fire soil temperatures","INTERNATIONAL JOURNAL OF WILDLAND FIRE","10.1071/WF19027","http://doi.org/10.1071/WF19027"
"Duarte, SW; Ronchi, DL; Schorn, LA; Fenilli, TAB",2020,"What Alterations can be seen in the Soil Seed Bank after Eucalyptus Harvest?","FLORESTA E AMBIENTE","10.1590/2179-8087.007118","http://doi.org/10.1590/2179-8087.007118"
"Minuto, L; Casazza, G; Dagnino, D; Guerrina, M; Macri, C; Zappa, E; Mariotti, MG",2020,"REPRODUCTIVE TRAITS OF THE INVASIVE SPECIES ACACIA DEALBATA LINK. IN THE NORTHERN MEDITERRANEAN BASIN","ANNALI DI BOTANICA","10.13133/2239-3129/15642","http://doi.org/10.13133/2239-3129/15642"
"da Costa, PF; Pereira, ZV; Fernandes, SSL; Froes, CQ; dos Santos, BS; Barbosa, TO",2020,"Soil seed bank in restored areas in southern Mato Grosso do Sul state - MS","CIENCIA FLORESTAL","10.5902/1980509832896","http://doi.org/10.5902/1980509832896"
"Weller, SL; Javaid, MM; Florentine, SK",2020,"Evaluation of the growth response of arid zone invasive species Salvia verbenaca cultivars to atmospheric carbon dioxide and soil moisture","RANGELAND JOURNAL","10.1071/RJ19060","http://doi.org/10.1071/RJ19060"
"Harries, M; Flower, KC; Scanlan, CA; Rose, MT; Renton, M",2020,"Interactions between crop sequences, weed populations and herbicide use in Western Australian broadacre farms: findings of a six-year survey","CROP & PASTURE SCIENCE","10.1071/CP19509","http://doi.org/10.1071/CP19509"
"Yanez, A; Gutierrez, DG; Ponce, MM",2020,"Weedy ferns (Polypodiopsida) in Argentina: diversity, distribution and impact on human activities and ecosystems","ANAIS DA ACADEMIA BRASILEIRA DE CIENCIAS","10.1590/0001-3765202020180983","http://doi.org/10.1590/0001-3765202020180983"
"Tedoradze, G; Nakhutsrishvili, G; Seip, M; Theissen, T; Waldhardt, R; Otte, A; Magiera, A",2020,"Terrain impacts the composition of the persistent soil seed bank: A case study of steep high mountain grasslands in the Greater Caucasus, Georgia","PHYTOCOENOLOGIA","10.1127/phyto/2019/0321","http://doi.org/10.1127/phyto/2019/0321"
"Harvolk-Schoning, S; Michalska-Hejduk, D; Harnisch, M; Otte, A; Donath, TW",2020,"Floodplain meadow restoration revisited: Long-term success of large scale application of diaspore transfer with plant material in restoration practice","BIOLOGICAL CONSERVATION","10.1016/j.biocon.2019.108322","http://doi.org/10.1016/j.biocon.2019.108322"
"Mahajan, G; Singh, R; Chauhan, BS",2020,"Biology of Brassica tournefortii in the northern grains region of Australia","CROP & PASTURE SCIENCE","10.1071/CP19451","http://doi.org/10.1071/CP19451"
"Boyce, RL; Durtsche, RD",2020,"Plant colonization of a restored wetland in northern Kentucky: Contribution of seeding vs. natural sources","JOURNAL OF THE TORREY BOTANICAL SOCIETY","10.3159/1095-5674-147.1.9","http://doi.org/10.3159/1095-5674-147.1.9"
"Endalew, B; Wondimagegnhu, BA; Tassie, K",2020,"Willingness to pay for church forest conservation: a case study in northwestern Ethiopia","JOURNAL OF FOREST SCIENCE","10.17221/154/2019-JFS","http://doi.org/10.17221/154/2019-JFS"
"Osorio-Castiblanco, DF; Peyre, G; Saldarriaga, JF",2020,"Physicochemical Analysis and Essential Oils Extraction of the Gorse (Ulex europaeus) and French Broom (Genista monspessulana), Two Highly Invasive Species in the Colombian Andes","SUSTAINABILITY","10.3390/su12010057","http://doi.org/10.3390/su12010057"
"Blath, J; Casanova, AG; Kurt, N; Wilke-Berenguer, M",2020,"The seed bank coalescent with simultaneous switching","ELECTRONIC JOURNAL OF PROBABILITY","10.1214/19-EJP401","http://doi.org/10.1214/19-EJP401"
"de Oliveira, AK; Coelho, MDB; Diogenes, FEP",2020,"ALLELOPATHIC ACTIVITY OF Amburana cearensis SEED EXTRACTS ON MELON EMERGENCE","REVISTA CAATINGA","10.1590/1983-21252020v33n130rc","http://doi.org/10.1590/1983-21252020v33n130rc"
"Dawson, SK; Catford, JA; Berney, P; Kingsford, RT; Capon, S",2020,"Land use alters soil propagule banks of wetlands down the soil-depth profile","MARINE AND FRESHWATER RESEARCH","10.1071/MF18438","http://doi.org/10.1071/MF18438"
"Bitarafan, Z; Andreasen, C",2020,"Harvest Weed Seed Control: Seed Production and Retention of Fallopia convolvulus, Sinapis arvensis, Spergula arvensis and Stellaria media at Spring Oat Maturity","AGRONOMY-BASEL","10.3390/agronomy10010046","http://doi.org/10.3390/agronomy10010046"
"Hayat, S; Wang, K; Liu, B; Wang, Y; Chen, FJ; Li, PF; Hayat, K; Ma, YQ",2020,"A Two-Year Simulated Crop Rotation Confirmed the Differential Infestation of Broomrape Species in China Is Associated with Crop-Based Biostimulants","AGRONOMY-BASEL","10.3390/agronomy10010018","http://doi.org/10.3390/agronomy10010018"
"Skuodiene, R; Karcauskiene, D; Feiza, V; Feiziene, D; Repsiene, R; Siaudinis, TRA",2020,"Changes in weed flora under the influence of long term application of liming and reduced soil tillage","ZEMDIRBYSTE-AGRICULTURE","10.13080/z-a.2020.107.004","http://doi.org/10.13080/z-a.2020.107.004"
"Beckie, HJ; Flower, KC; Ashworth, MB",2020,"Farming without Glyphosate?","PLANTS-BASEL","10.3390/plants9010096","http://doi.org/10.3390/plants9010096"
"Petrikovszki, R; Zalai, M; Bogdanyi, FT; Toth, F",2020,"The Effect of Organic Mulching and Irrigation on the Weed Species Composition and the Soil Weed Seed Bank of Tomato","PLANTS-BASEL","10.3390/plants9010066","http://doi.org/10.3390/plants9010066"
"Zinsmeister, J; Leprince, O; Buitink, J",2020,"Molecular and environmental factors regulating seed longevity","BIOCHEMICAL JOURNAL","10.1042/BCJ20190165","http://doi.org/10.1042/BCJ20190165"
"Asgarpour, R; Ghorbani, R; Khajeh-Hosseini, M; Golzardi, F; Ilkaee, MN",2020,"SEED LONGEVITY OF SPOTTED SPURGE AND WILD POINSETTIA UNDER DIVERSE ENVIRONMENTAL CONDITIONS","PLANTA DANINHA","10.1590/S0100-83582020380100002","http://doi.org/10.1590/S0100-83582020380100002"
"Chen, FQ; Zhang, M; Wu, Y; Huang, YW",2020,"Seed rain and seed bank of a draw-down zone and their similarities to vegetation under the regulated water-level fluctuation in Xiangxi River","JOURNAL OF FRESHWATER ECOLOGY","10.1080/02705060.2019.1670744","http://doi.org/10.1080/02705060.2019.1670744"
"Tamura, A",2020,"Effects of 16-year Deer Exclusion on the Forbs and Tree Saplings in a Beech (Fagus crenata) Forest Degraded by Sika Deer in Eastern Japan","NATURAL AREAS JOURNAL","10.3375/043.040.0102","http://doi.org/10.3375/043.040.0102"
"Wawrzyniak, MK; Jasinska, AK; Chmielarz, P; Kozlowski, G",2020,"Desiccation, dormancy, and storage of Pterocarya fraxinifolia (Juglandaceae) seeds: application in Hyrcanian and Colchian forest conservation","CANADIAN JOURNAL OF FOREST RESEARCH","10.1139/cjfr-2018-0519","http://doi.org/10.1139/cjfr-2018-0519"
"Pipatpongpinyo, W; Korkmaz, U; Wu, H; Kena, A; Ye, H; Feng, JH; Gu, XY",2020,"Assembling seed dormancy genes into a system identified their effects on seedbank longevity in weedy rice","HEREDITY","10.1038/s41437-019-0253-8","http://doi.org/10.1038/s41437-019-0253-8"
"Goncalves, BG; Ribeiro, LM; Dias, DS; Mazzottini-dos-Santos, HC; Martins, CDS; Lopes, PSN; Mercadante-Simoes, MO",2020,"Embryo responses to extreme water events provide insights into the behavior of Butia capitata (Arecaceae) seed banks during hydration cycles","ENVIRONMENTAL AND EXPERIMENTAL BOTANY","10.1016/j.envexpbot.2019.103904","http://doi.org/10.1016/j.envexpbot.2019.103904"
"Block, PR; Gasch, CK; Limb, RF",2020,"Biological integrity of mixed-grass prairie topsoils subjected to long-term stockpiling","APPLIED SOIL ECOLOGY","10.1016/j.apsoil.2019.08.009","http://doi.org/10.1016/j.apsoil.2019.08.009"
"Darmayanti, AS; Lestari, DA; Firdiana, ER",2020,"Seed Exploration and Conservation in Alas Purwo National Park, Banyuwangi, East Java, Indonesia","BIOSCIENCE RESEARCH","None","https://scholar.google.com/scholar?q=Seed+Exploration+and+Conservation+in+Alas+Purwo+National+Park,+Banyuwangi,+East+Java,+Indonesia"
"Suarez, HJ; Marrero, AG; Perez, YP; Benitez, OS",2020,"Influence of hydrothermal treatment time on the percentage of sprouting, cane production and control of seed diseases propagated by cuttings","CENTRO AGRICOLA","None","https://scholar.google.com/scholar?q=Influence+of+hydrothermal+treatment+time+on+the+percentage+of+sprouting,+cane+production+and+control+of+seed+diseases+propagated+by+cuttings"
"Bechara, FC; Salvador, LZ; Ventura, RA; Topanotti, LR; Gerber, D; da Cruz, IS; Simonelli, M",2020,"Vegetation and seed bank of an open-scrub bush restinga formation in the Southeastern coast of Brazil","REVISTA DE BIOLOGIA TROPICAL","None","https://scholar.google.com/scholar?q=Vegetation+and+seed+bank+of+an+open-scrub+bush+restinga+formation+in+the+Southeastern+coast+of+Brazil"
"Vaughan, A",2020,"Rare herb caught in Australian bush fires saved by seed bank","NEW SCIENTIST","None","https://scholar.google.com/scholar?q=Rare+herb+caught+in+Australian+bush+fires+saved+by+seed+bank"
"Acosta-Vargas, L; Rovere, AE; Camacho-Sandoval, J",2020,"Effectiveness of two treatments to promote tree regeneration: implications for forest restoration in the Isla del Coco National Park, Costa Rica","REVISTA DE BIOLOGIA TROPICAL","None","https://scholar.google.com/scholar?q=Effectiveness+of+two+treatments+to+promote+tree+regeneration:+implications+for+forest+restoration+in+the+Isla+del+Coco+National+Park,+Costa+Rica"
"Temirbekova, S; Afanasyeva, Y; Beloshapkina, O; Postnikov, D",2020,"Barley Genetic Resources from the Global Vavilov Seed Bank to Use in Plant Breeding","JOURNAL OF BIOCHEMICAL TECHNOLOGY","None","https://scholar.google.com/scholar?q=Barley+Genetic+Resources+from+the+Global+Vavilov+Seed+Bank+to+Use+in+Plant+Breeding"
