PT	AU	BA	BE	GP	AF	BF	CA	TI	SO	SE	BS	LA	DT	CT	CY	CL	SP	HO	DE	ID	AB	C1	RP	EM	RI	OI	FU	FX	CR	NR	TC	Z9	U1	U2	PU	PI	PA	SN	EI	BN	J9	JI	PD	PY	VL	IS	PN	SU	SI	MA	BP	EP	AR	DI	D2	EA	PG	WC	SC	GA	UT	PM	OA	HC	HP	DA
J	Deroulers, P; Bretagnolle, V				Deroulers, P.; Bretagnolle, V			The consumption pattern of 28 species of carabid beetles (Carabidae) to a weed seed, Viola arvensis	BULLETIN OF ENTOMOLOGICAL RESEARCH																													0007-4853	1475-2670				APR	2019	109	2					229	235	PII S0007485318000457	10.1017/S0007485318000457							WOS:000463661300011	29973302					
J	Schwabe, S; Weber, EA; Gesell, S; Gruber, S; Claupein, W				Schwabe, S.; Weber, E. A.; Gesell, S.; Gruber, S.; Claupein, W.			Overcoming seed dormancy in oilseed rape (Brassica napus L.) with exogenous compounds	WEED RESEARCH																													0043-1737	1365-3180				APR	2019	59	2					119	129		10.1111/wre.12346							WOS:000460310800004						
J	Yasin, M; Rosenqvist, E; Jensen, SM; Andreasen, C				Yasin, M.; Rosenqvist, E.; Jensen, S. M.; Andreasen, C.			The importance of reduced light intensity on the growth and development of six weed species	WEED RESEARCH																Yasin, Muhammad/C-5785-2015; Andreasen, Christian/F-6633-2014; Jensen, Signe Marie/G-1026-2016	Yasin, Muhammad/0000-0002-5195-9524; Andreasen, Christian/0000-0003-0844-141X; Jensen, Signe Marie/0000-0002-7738-5231												0043-1737	1365-3180				APR	2019	59	2					130	144		10.1111/wre.12352							WOS:000460310800005						
J	Cirujeda, A; Mari, AI; Murillo, S; Aibar, J; Pardo, G; Sole-Senan, XO				Cirujeda, Alicia; Mari, Ana Isabel; Murillo, Sonia; Aibar, Joaquin; Pardo, Gabriel; Sole-Senan, Xavier-Oriol			May the Inclusion of a Legume Crop Change Weed Composition in Cereal Fields? Example of Sainfoin in Aragon (Spain)	AGRONOMY-BASEL																Cirujeda, Alicia/J-1506-2012	Cirujeda, Alicia/0000-0001-9646-8422; Sole-Senan, Xavier Oriol/0000-0002-1533-1334												2073-4395					MAR 14	2019	9	3							134	10.3390/agronomy9030134							WOS:000464381900001						
J	Benaragama, D; Leeson, JL; Shirtliffe, SJ				Benaragama, Dilshan; Leeson, Julia L.; Shirtliffe, Steve J.			Understanding the Long-Term Weed Community Dynamics in Organic and Conventional Crop Rotations Using the Principal Response Curve Method	WEED SCIENCE																													0043-1745	1550-2759				MAR	2019	67	2					195	204		10.1017/wsc.2018.64							WOS:000472582700006						
J	San Martin, C; Long, DS; Gourlie, JA; Barroso, J				San Martin, Carolina; Long, Dan S.; Gourlie, Jennifer A.; Barroso, Judit			Spring crops in three year rotations reduce weed pressure in winter wheat	FIELD CROPS RESEARCH																Barroso, Judit/E-7396-2015; Barroso, Judit/C-4507-2015	Barroso, Judit/0000-0002-4453-275X; Barroso, Judit/0000-0002-4453-275X; Long, Dan/0000-0002-2752-7414; San Martin, Carolina/0000-0001-6273-2301												0378-4290	1872-6852				MAR 1	2019	233						12	20		10.1016/j.fcr.2018.12.017							WOS:000458939500002						
J	Nogueira, C; Werner, C; Rodrigues, A; Caldeira, MC				Nogueira, Carla; Werner, Christiane; Rodrigues, Ana; Caldeira, Maria C.			A prolonged dry season and nitrogen deposition interactively affect CO2 fluxes in an annual Mediterranean grassland	SCIENCE OF THE TOTAL ENVIRONMENT																Caldeira, Maria/D-4107-2013; Nogueira, Carla/A-2540-2019; Werner, Christiane/B-2948-2009	Caldeira, Maria/0000-0002-3586-8526; Nogueira, Carla/0000-0002-6581-1678; Werner, Christiane/0000-0002-7676-9057												0048-9697	1879-1026				MAR 1	2019	654						978	986		10.1016/j.scitotenv.2018.11.091							WOS:000458630100089	30453267					
J	Stubbington, R; Paillex, A; England, J; Barthes, A; Bouchez, A; Rimet, F; Sanchez-Montoya, MM; Westwood, CG; Datry, T				Stubbington, Rachel; Paillex, Amael; England, Judy; Barthes, Amelie; Bouchez, Agnes; Rimet, Frederic; Mar Sanchez-Montoya, Maria; Westwood, Christian G.; Datry, Thibault			A comparison of biotic groups as dry-phase indicators of ecological quality in intermittent rivers and ephemeral streams	ECOLOGICAL INDICATORS																; Sanchez-Montoya, Maria Mar/K-4387-2016	Stubbington, Rachel/0000-0001-8475-5109; paillex, amael/0000-0001-9255-3662; Sanchez-Montoya, Maria Mar/0000-0001-8179-7805												1470-160X	1872-7034				FEB	2019	97						165	174		10.1016/j.ecolind.2018.09.061							WOS:000464891000019						
J	Huebner, DC; Bret-Harte, MS				Huebner, Diane Christine; Bret-Harte, Marion Syndonia			Microsite conditions in retrogressive thaw slumps may facilitate increased seedling recruitment in the Alaskan Low Arctic	ECOLOGY AND EVOLUTION																	Huebner, Diane/0000-0003-2605-7534												2045-7758					FEB	2019	9	4					1880	1897		10.1002/ece3.4882							WOS:000461114900027	30847079					
J	Pollard, AT; Okubara, PA				Pollard, Anne T.; Okubara, Patricia A.			Real-time PCR quantification of Fusarium avenaceum in soil and seeds	JOURNAL OF MICROBIOLOGICAL METHODS																													0167-7012	1872-8359				FEB	2019	157						21	30		10.1016/j.mimet.2018.12.009							WOS:000459524000005	30571987					
J	Riddin, T; Adams, J				Riddin, Taryn; Adams, Janine			Water level fluctuations and phenological responses in a salt marsh succulent	AQUATIC BOTANY																	Riddin, Taryn/0000-0002-5877-3431												0304-3770	1879-1522				FEB	2019	153						58	66		10.1016/j.aquabot.2018.11.003							WOS:000458224100010						
J	Fukumori, K; Ishida, S; Shimoda, M; Takenaka, A; Akasaka, M; Nishihiro, J; Takamura, N; Kadoya, T				Fukumori, Kayoko; Ishida, Shinya; Shimoda, Michiko; Takenaka, Akio; Akasaka, Munemitsu; Nishihiro, Jun; Takamura, Noriko; Kadoya, Taku			Incorporating species population dynamics into static prioritization: Targeting species undergoing rapid change	JOURNAL OF APPLIED ECOLOGY																Akasaka, Munemitsu/G-1172-2013	Akasaka, Munemitsu/0000-0002-0143-0841												0021-8901	1365-2664				FEB	2019	56	2					450	458		10.1111/1365-2664.13291							WOS:000457580700017						
J	Kumar, V; Jha, P; Jugulam, M; Yadav, R; Stahlman, PW				Kumar, Vipan; Jha, Prashant; Jugulam, Mithila; Yadav, Ramawatar; Stahlman, Phillip W.			Herbicide-Resistant Kochia (Bassia scoparia) in North America: A Review	WEED SCIENCE																Kumar, Vipan/N-1879-2019	Kumar, Vipan/0000-0002-8301-5878												0043-1745	1550-2759				FEB	2019	67	1					4	15		10.1017/wsc.2018.72							WOS:000457270700001						
J	Osipitan, OA; Dille, JA; Bagavathiannan, MV; Knezevic, SZ				Osipitan, O. Adewale; Dille, J. Anita; Bagavathiannan, Muthukumar V.; Knezevic, Stevan Z.			Modeling Population Dynamics of Kochia (Bassia Scoparia) in Response to Diverse Weed Control Option	WEED SCIENCE																Osipitan, O. Adewale/U-4613-2017	Osipitan, O. Adewale/0000-0002-8202-4270												0043-1745	1550-2759				FEB	2019	67	1					57	67		10.1017/wsc.2018.85							WOS:000457270700007						
J	Wu, HW; Stanton, R; Lemerle, D				Wu, Hanwen; Stanton, Rex; Lemerle, Deirdre			Seed Fecundity, Persistence, and Germination Biology of Prairie Grouncherry (Physalis hederifolia) in Australia	WEED SCIENCE																Wu, Hanwen/B-7901-2010	Wu, Hanwen/0000-0001-5157-4977												0043-1745	1550-2759				FEB	2019	67	1					77	82		10.1017/wsc.2018.67							WOS:000457270700009						
J	Soltani, E; Baskin, JM; Baskin, CC				Soltani, E.; Baskin, J. M.; Baskin, C. C.			A review of the relationship between primary and secondary dormancy, with reference to the volunteer crop weed oilseed rape (Brassica napus)	WEED RESEARCH																	Soltani, Elias/0000-0003-0017-6703												0043-1737	1365-3180				FEB	2019	59	1					5	14		10.1111/wre.12342							WOS:000456060400002						
J	Zhou, QQ; Li, F; Cai, XA; Rao, XQ; Zhou, LX; Liu, ZF; Lin, YB; Fu, SL				Zhou, Qingqiu; Li, Feng; Cai, Xi-an; Rao, Xingquan; Zhou, Lixia; Liu, Zhanfeng; Lin, Yongbiao; Fu, Shenglei			Survivorship of plant species from soil seedbank after translocation from subtropical natural forests to plantation forests	FOREST ECOLOGY AND MANAGEMENT																													0378-1127	1872-7042				JAN 15	2019	432						741	747		10.1016/j.foreco.2018.10.013							WOS:000455068700072						
J	Dufourq, P; Shapcott, A				Dufourq, Peter; Shapcott, Alison			The importance of fire in the success of a 15 hectare subtropical heathland translocation	AUSTRALIAN JOURNAL OF BOTANY																													0067-1924	1444-9862					2019	67	6-7					531	545		10.1071/BT19064							WOS:000503790300010						
J	Pardo, G; Cirujeda, A; Perea, F; Verdu, AMC; Mas, MT; Urbano, JM				Pardo, G.; Cirujeda, A.; Perea, F.; Verdu, A. M. C.; Mas, M. T.; Urbano, J. M.			EFFECTS OF REDUCED AND CONVENTIONAL TILLAGE ON WEED COMMUNITIES: RESULTS OF A LONG-TERM EXPERIMENT IN SOUTHWESTERN SPAIN	PLANTA DANINHA																Cirujeda, Alicia/J-1506-2012	Cirujeda, Alicia/0000-0001-9646-8422												0100-8358	1806-9681					2019	37								e019201336	10.1590/S0100-83582019370100152							WOS:000501505800001						
J	Ragas, REG; Mangubat, JR; Rasco, ET				Ragas, Richie Eve G.; Mangubat, Jhoanavi R.; Rasco, Eufemio T., Jr.			Weed Density and Diversity under Two Weed Management Practices in Sloping Lands of Banana Plantation in Davao City, Philippines	MINDANAO JOURNAL OF SCIENCE AND TECHNOLOGY																													2244-0410	2449-3686				JAN-DEC	2019	17						167	182									WOS:000501547100012						
B	Spalding, HL; Amado, GM; Bahia, RG; Ballantine, DL; Fredericq, S; Leichter, JJ; Nelson, WA; Slattery, M; Tsuda, RT		Loya, Y; Puglise, KA; Bridge, TCL		Spalding, Heather L.; Amado-Filho, Gilberto M.; Bahia, Ricardo G.; Ballantine, David L.; Fredericq, Suzanne; Leichter, James J.; Nelson, Wendy A.; Slattery, Marc; Tsuda, Roy T.			Macroalgae	MESOPHOTIC CORAL ECOSYSTEMS	Coral Reefs of the World																														978-3-319-92735-0; 978-3-319-92734-3				2019	12						507	+		10.1007/978-3-319-92735-0_29	10.1007/978-3-319-92735-0						WOS:000487754900030						
