"Author","Year","Title","Journal","Doi","URL"
"Shrestha, S; Sharma, G; Burgos, NR; Tseng, TM",2019,"Response of weedy rice (Oryza spp.) germplasm from Arkansas to glyphosate, glufosinate, and flumioxazin","WEED SCIENCE","10.1017/wsc.2018.92","http://doi.org/10.1017/wsc.2018.92"
"Hazelton, ELG; Downard, R; Kettenring, KM; McCormick, MK; Whigham, DF",2019,"Spatial and Temporal Variation in Brackish Wetland Seedbanks: Implications for Wetland Restoration Following Phragmites Control (vol 41, pg S68, 2018)","ESTUARIES AND COASTS","10.1007/s12237-018-00500-2","http://doi.org/10.1007/s12237-018-00500-2"
"Thuring, CE; Dunnett, NP",2019,"Persistence, loss and gain: Characterising mature green roof vegetation by functional composition","LANDSCAPE AND URBAN PLANNING","10.1016/j.landurbplan.2018.10.026","http://doi.org/10.1016/j.landurbplan.2018.10.026"
"Borrell, JS; Biswas, MK; Goodwin, M; Blomme, G; Schwarzacher, T; Heslop-Harrison, JS; Wendawek, AM; Berhanu, A; Kallow, S; Janssens, S; Molla, EL; Davis, AP; Woldeyes, F; Willis, K; Demissew, S; Wilkin, P",2019,"Enset in Ethiopia: a poorly characterized but resilient starch staple","ANNALS OF BOTANY","10.1093/aob/mcy214","http://doi.org/10.1093/aob/mcy214"
"Loureiro, AMMC; Cutler, GC; Nams, VO; White, SN",2019,"Poecilus lucublandus (Coleoptera: Carabidae) and Pterostichus mutus Do Not Feed on Hair Fescue, Red Sorrel, and Poverty Oatgrass Seeds","JOURNAL OF INSECT SCIENCE","10.1093/jisesa/iez027","http://doi.org/10.1093/jisesa/iez027"
"Deroulers, P; Bretagnolle, V",2019,"The consumption pattern of 28 species of carabid beetles (Carabidae) to a weed seed, Viola arvensis","BULLETIN OF ENTOMOLOGICAL RESEARCH","10.1017/S0007485318000457","http://doi.org/10.1017/S0007485318000457"
"Schwabe, S; Weber, EA; Gesell, S; Gruber, S; Claupein, W",2019,"Overcoming seed dormancy in oilseed rape (Brassica napus L.) with exogenous compounds","WEED RESEARCH","10.1111/wre.12346","http://doi.org/10.1111/wre.12346"
"Yasin, M; Rosenqvist, E; Jensen, SM; Andreasen, C",2019,"The importance of reduced light intensity on the growth and development of six weed species","WEED RESEARCH","10.1111/wre.12352","http://doi.org/10.1111/wre.12352"
"Cirujeda, A; Mari, AI; Murillo, S; Aibar, J; Pardo, G; Sole-Senan, XO",2019,"May the Inclusion of a Legume Crop Change Weed Composition in Cereal Fields? Example of Sainfoin in Aragon (Spain)","AGRONOMY-BASEL","10.3390/agronomy9030134","http://doi.org/10.3390/agronomy9030134"
"Benaragama, D; Leeson, JL; Shirtliffe, SJ",2019,"Understanding the Long-Term Weed Community Dynamics in Organic and Conventional Crop Rotations Using the Principal Response Curve Method","WEED SCIENCE","10.1017/wsc.2018.64","http://doi.org/10.1017/wsc.2018.64"
"San Martin, C; Long, DS; Gourlie, JA; Barroso, J",2019,"Spring crops in three year rotations reduce weed pressure in winter wheat","FIELD CROPS RESEARCH","10.1016/j.fcr.2018.12.017","http://doi.org/10.1016/j.fcr.2018.12.017"
"Nogueira, C; Werner, C; Rodrigues, A; Caldeira, MC",2019,"A prolonged dry season and nitrogen deposition interactively affect CO2 fluxes in an annual Mediterranean grassland","SCIENCE OF THE TOTAL ENVIRONMENT","10.1016/j.scitotenv.2018.11.091","http://doi.org/10.1016/j.scitotenv.2018.11.091"
"Stubbington, R; Paillex, A; England, J; Barthes, A; Bouchez, A; Rimet, F; Sanchez-Montoya, MM; Westwood, CG; Datry, T",2019,"A comparison of biotic groups as dry-phase indicators of ecological quality in intermittent rivers and ephemeral streams","ECOLOGICAL INDICATORS","10.1016/j.ecolind.2018.09.061","http://doi.org/10.1016/j.ecolind.2018.09.061"
"Huebner, DC; Bret-Harte, MS",2019,"Microsite conditions in retrogressive thaw slumps may facilitate increased seedling recruitment in the Alaskan Low Arctic","ECOLOGY AND EVOLUTION","10.1002/ece3.4882","http://doi.org/10.1002/ece3.4882"
"Pollard, AT; Okubara, PA",2019,"Real-time PCR quantification of Fusarium avenaceum in soil and seeds","JOURNAL OF MICROBIOLOGICAL METHODS","10.1016/j.mimet.2018.12.009","http://doi.org/10.1016/j.mimet.2018.12.009"
"Riddin, T; Adams, J",2019,"Water level fluctuations and phenological responses in a salt marsh succulent","AQUATIC BOTANY","10.1016/j.aquabot.2018.11.003","http://doi.org/10.1016/j.aquabot.2018.11.003"
"Fukumori, K; Ishida, S; Shimoda, M; Takenaka, A; Akasaka, M; Nishihiro, J; Takamura, N; Kadoya, T",2019,"Incorporating species population dynamics into static prioritization: Targeting species undergoing rapid change","JOURNAL OF APPLIED ECOLOGY","10.1111/1365-2664.13291","http://doi.org/10.1111/1365-2664.13291"
"Kumar, V; Jha, P; Jugulam, M; Yadav, R; Stahlman, PW",2019,"Herbicide-Resistant Kochia (Bassia scoparia) in North America: A Review","WEED SCIENCE","10.1017/wsc.2018.72","http://doi.org/10.1017/wsc.2018.72"
"Osipitan, OA; Dille, JA; Bagavathiannan, MV; Knezevic, SZ",2019,"Modeling Population Dynamics of Kochia (Bassia Scoparia) in Response to Diverse Weed Control Option","WEED SCIENCE","10.1017/wsc.2018.85","http://doi.org/10.1017/wsc.2018.85"
"Wu, HW; Stanton, R; Lemerle, D",2019,"Seed Fecundity, Persistence, and Germination Biology of Prairie Grouncherry (Physalis hederifolia) in Australia","WEED SCIENCE","10.1017/wsc.2018.67","http://doi.org/10.1017/wsc.2018.67"
"Soltani, E; Baskin, JM; Baskin, CC",2019,"A review of the relationship between primary and secondary dormancy, with reference to the volunteer crop weed oilseed rape (Brassica napus)","WEED RESEARCH","10.1111/wre.12342","http://doi.org/10.1111/wre.12342"
"Zhou, QQ; Li, F; Cai, XA; Rao, XQ; Zhou, LX; Liu, ZF; Lin, YB; Fu, SL",2019,"Survivorship of plant species from soil seedbank after translocation from subtropical natural forests to plantation forests","FOREST ECOLOGY AND MANAGEMENT","10.1016/j.foreco.2018.10.013","http://doi.org/10.1016/j.foreco.2018.10.013"
"Dufourq, P; Shapcott, A",2019,"The importance of fire in the success of a 15 hectare subtropical heathland translocation","AUSTRALIAN JOURNAL OF BOTANY","10.1071/BT19064","http://doi.org/10.1071/BT19064"
"Pardo, G; Cirujeda, A; Perea, F; Verdu, AMC; Mas, MT; Urbano, JM",2019,"EFFECTS OF REDUCED AND CONVENTIONAL TILLAGE ON WEED COMMUNITIES: RESULTS OF A LONG-TERM EXPERIMENT IN SOUTHWESTERN SPAIN","PLANTA DANINHA","10.1590/S0100-83582019370100152","http://doi.org/10.1590/S0100-83582019370100152"
"Welgama, A; Florentine, S; Marchante, H; Javaid, MM; Turville, C",2019,"The germination success of Acacia longifolia subsp. longifolia (Fabaceae): a comparison between its native and exotic ranges","AUSTRALIAN JOURNAL OF BOTANY","10.1071/BT19018","http://doi.org/10.1071/BT19018"
"Miller, B; Symons, DR; Barrett, MD",2019,"Persistence of rare species depends on rare events: demography, fire response and phenology of two plant species endemic to a semiarid Banded Iron Formation range","AUSTRALIAN JOURNAL OF BOTANY","10.1071/BT18214","http://doi.org/10.1071/BT18214"
"Khan, MJ; Brodie, G; Gupta, D",2019,"Potential of microwave soil heating for weed management and yield improvement in rice cropping","CROP & PASTURE SCIENCE","10.1071/CP18515","http://doi.org/10.1071/CP18515"
"Ku, JJ; Han, SH; Kim, DH",2019,"Extended low temperature and cryostorage longevity of Salix seeds with desiccation control","OPEN LIFE SCIENCES","10.1515/biol-2019-0001","http://doi.org/10.1515/biol-2019-0001"
"Nadeem, F; Farooq, M; Hussain, M; Ahmad, R; Naveed, M",2019,"Influence of Zinc and Boron Application on Weed Dynamics in No-Till and Plough-Till Wheat","INTERNATIONAL JOURNAL OF AGRICULTURE AND BIOLOGY","10.17957/IJAB/15.0944","http://doi.org/10.17957/IJAB/15.0944"
"MacLaren, C; Storkey, J; Strauss, J; Swanepoel, P; Dehnen-Schmutz, K",2019,"Livestock in diverse cropping systems improve weed management and sustain yields whilst reducing inputs","JOURNAL OF APPLIED ECOLOGY","10.1111/1365-2664.13239","http://doi.org/10.1111/1365-2664.13239"
"Saaed, MWB; Jacobs, SM; Masubelele, ML; Samuels, I; Khomo, L; El-Barasi, YM",2018,"The composition of the soil seedbank and its role in ecosystem dynamics and rehabilitation potential in the arid Tankwa Karoo Region, South Africa(</n>)","AFRICAN JOURNAL OF RANGE & FORAGE SCIENCE","10.2989/10220119.2018.1526824","http://doi.org/10.2989/10220119.2018.1526824"
"Henzler, J; Weise, H; Enright, NJ; Zander, S; Tietjen, B",2018,"A squeeze in the suitable fire interval: Simulating the persistence of fire-killed plants in a Mediterranean-type ecosystem under drier conditions","ECOLOGICAL MODELLING","10.1016/j.ecolmodel.2018.10.010","http://doi.org/10.1016/j.ecolmodel.2018.10.010"
"Leary, J; Mahnken, B; Wada, C; Burnett, K",2018,"Interpreting Life-History Traits of Miconia (Miconia calvescens) through Management over Space and Time in the East Maui Watershed, Hawaii (USA)","INVASIVE PLANT SCIENCE AND MANAGEMENT","10.1017/inp.2018.26","http://doi.org/10.1017/inp.2018.26"
"Zimmer, M; Young, BG; Johnson, WG",2018,"Herbicide Programs Utilizing Halauxifen-Methyl for Glyphosate-Resistant Horseweed (Conyza canadensis) Control in Soybean","WEED TECHNOLOGY","10.1017/wet.2018.60","http://doi.org/10.1017/wet.2018.60"
"Camara, A; Dieng, A; Diaw, MT; Mergeai, G; Bindelle, J",2018,"Effect of management practices for Stylosanthes hamata (L.) Taub. biomass cover on the weed species in different direct-seeding, mulch-based cropping systems","WEED BIOLOGY AND MANAGEMENT","10.1111/wbm.12158","http://doi.org/10.1111/wbm.12158"
"Roach, T; Nagel, M; Borner, A; Eberle, C; Kranner, I",2018,"Changes in tocochromanols and glutathione reveal differences in the mechanisms of seed ageing under seedbank conditions and controlled deterioration in barley","ENVIRONMENTAL AND EXPERIMENTAL BOTANY","10.1016/j.envexpbot.2018.08.027","http://doi.org/10.1016/j.envexpbot.2018.08.027"
"Eddoud, A; Buisson, E; Achour, L; Guediri, K; Bissati, S; Abdelkrim, H",2018,"Changes in weed species composition in irrigated agriculture in Saharan Algeria","WEED RESEARCH","10.1111/wre.12328","http://doi.org/10.1111/wre.12328"
"Mahmood, AH; Florentine, S; Graz, FP; Turville, C; Palmer, G; Sillitoe, J; McLaren, D",2018,"Comparison of techniques to control the aggressive environmental invasive species Galenia pubescens in a degraded grassland reserve, Victoria, Australia","PLOS ONE","10.1371/journal.pone.0203653","http://doi.org/10.1371/journal.pone.0203653"
"Gu, XY; Pipatpongpinyo, W; Zhang, LH; Zhou, YL; Ye, H; Feng, JH",2018,"Two Contrasting Patterns and Underlying Genes for Coadaptation of Seed Dormancy and Flowering Time in Rice","SCIENTIFIC REPORTS","10.1038/s41598-018-34850-5","http://doi.org/10.1038/s41598-018-34850-5"
"Lin, YT; Tu, TH; Wei, CL; Rumble, D; Lin, LH; Wang, PL",2018,"Steep redox gradient and biogeochemical cycling driven by deeply sourced fluids and gases in a terrestrial mud volcano","FEMS MICROBIOLOGY ECOLOGY","10.1093/femsec/fiy171","http://doi.org/10.1093/femsec/fiy171"
"Reinhardt, T; Leon, RG",2018,"Extractable and Germinable Seedbank Methods Provide Different Quantifications of Weed Communities","WEED SCIENCE","10.1017/wsc.2018.56","http://doi.org/10.1017/wsc.2018.56"
"Kumar, V; Jha, P; Lim, CA; Stahlman, PW",2018,"Differential Germination Characteristics of Dicamba-Resistant Kochia (Bassia scoparia) Populations in Response to Temperature","WEED SCIENCE","10.1017/wsc.2018.54","http://doi.org/10.1017/wsc.2018.54"
"Yang, M; Zhao, YX; Yang, HM; Shen, YY; Zhang, XY",2018,"Suppression of weeds and weed seeds in the soil by stubbles and no-tillage in an arid maize-winter wheat-common vetch rotation on the Loess Plateau of China","JOURNAL OF ARID LAND","10.1007/s40333-018-0063-5","http://doi.org/10.1007/s40333-018-0063-5"
"Gaba, S; Caneill, J; Nicolardot, B; Perronne, R; Bretagnolle, V",2018,"Crop competition in winter wheat has a higher potential than farming practices to regulate weeds","ECOSPHERE","10.1002/ecs2.2413","http://doi.org/10.1002/ecs2.2413"
"Hawes, C; Alexander, CJ; Begg, GS; Iannetta, PPM; Karley, AJ; Squire, GR; Young, M",2018,"Plant Responses to an Integrated Cropping System Designed to Maintain Yield Whilst Enhancing Soil Properties and Biodiversity","AGRONOMY-BASEL","10.3390/agronomy8100229","http://doi.org/10.3390/agronomy8100229"
"Burns, EE; Lehnhoff, EA; Mckenzie, SC; Maxwell, BD; Dyer, WE; Menalled, FD",2018,"You cannot fight fire with fire: a demographic model suggests alternative approaches to manage multiple herbicide-resistant Avena fatua","WEED RESEARCH","10.1111/wre.12315","http://doi.org/10.1111/wre.12315"
"San Martin, C; Long, DS; Gourlie, JA; Barroso, J",2018,"Weed responses to fallow management in Pacific Northwest dryland cropping systems","PLOS ONE","10.1371/journal.pone.0204200","http://doi.org/10.1371/journal.pone.0204200"
"Pollard, AT",2018,"Seeds vs fungi: an enzymatic battle in the soil seedbank","SEED SCIENCE RESEARCH","10.1017/S0960258518000181","http://doi.org/10.1017/S0960258518000181"
"Mohler, CL; Caldwell, BA; Marschner, CA; Cordeau, S; Maqsood, Q; Ryan, MR; DiTommaso, A",2018,"Weed Seedbank and Weed Biomass Dynamics in a Long-Term Organic Vegetable Cropping Systems Experiment","WEED SCIENCE","10.1017/wsc.2018.52","http://doi.org/10.1017/wsc.2018.52"
"Geddes, CM; Gulden, RH",2018,"Candidate Tools for Integrated Weed Management in Soybean at the Northern Frontier of Production","WEED SCIENCE","10.1017/wsc.2018.32","http://doi.org/10.1017/wsc.2018.32"
"Drewitz, NM; Stoltenberg, DE",2018,"Weed Communities in Strip-Tillage Corn/No-Tillage Soybean Rotation and Chisel-Plow Corn Systems after 10 Years of Variable Management","WEED SCIENCE","10.1017/wsc.2018.40","http://doi.org/10.1017/wsc.2018.40"
"Nandan, R; Singh, V; Singh, SS; Kumar, V; Hazra, KK; Nath, CP; Poonia, SP; Malik, RK",2018,"Comparative assessment of the relative proportion of weed morphology, diversity, and growth under new generation tillage and crop establishment techniques in rice-based cropping systems","CROP PROTECTION","10.1016/j.cropro.2018.04.021","http://doi.org/10.1016/j.cropro.2018.04.021"
"Schuster, MZ; Harrison, SK; de Moraes, A; Sulc, RM; Carvalho, PCF; Lang, CR; Anghinoni, I; Lustosa, SBC; Gastal, F",2018,"Effects of crop rotation and sheep grazing management on the seedbank and emerged weed flora under a no-tillage integrated crop-livestock system","JOURNAL OF AGRICULTURAL SCIENCE","10.1017/S0021859618000813","http://doi.org/10.1017/S0021859618000813"
"Amaro-Blanco, I; Fernandez-Moreno, PT; Osuna-Ruiz, MD; Bastida, F; De Prado, R",2018,"Mechanisms of glyphosate resistance and response to alternative herbicide-based management in populations of the three Conyza species introduced in southern Spain","PEST MANAGEMENT SCIENCE","10.1002/ps.4896","http://doi.org/10.1002/ps.4896"
"Storkey, J; Neve, P",2018,"What good is weed diversity?","WEED RESEARCH","10.1111/wre.12310","http://doi.org/10.1111/wre.12310"
"Campiglia, E; Radicetti, E; Mancinelli, R",2018,"Floristic composition and species diversity of weed community after 10years of different cropping systems and soil tillage in a Mediterranean environment","WEED RESEARCH","10.1111/wre.12301","http://doi.org/10.1111/wre.12301"
"Haussmann, NS; Louw, MA; Lewis, S; Nicol, KJH; van der Merwe, S; le Roux, PC",2018,"Ecosystem engineering through aardvark (Orycteropus afer) burrowing: Mechanisms and effects","ECOLOGICAL ENGINEERING","10.1016/j.ecoleng.2018.04.022","http://doi.org/10.1016/j.ecoleng.2018.04.022"
"Fan, ZF; Yang, SY; Liu, X",2018,"Spatiotemporal Patterns and Mechanisms of Chinese Tallowtree (Triadica sebifera) Spread along Edge Habitat in a Coastal Landscape, Mississippi USA","INVASIVE PLANT SCIENCE AND MANAGEMENT","10.1017/inp.2018.21","http://doi.org/10.1017/inp.2018.21"
"Onen, H; Farooq, S; Tad, S; Ozaslan, C; Gunal, H; Chauhan, BS",2018,"The Influence of Environmental Factors on Germination of Burcucumber (Sicyos angulatus) Seeds: Implications for Range Expansion and Management","WEED SCIENCE","10.1017/wsc.2018.20","http://doi.org/10.1017/wsc.2018.20"
"Kanampiu, F; Makumbi, D; Mageto, E; Omanya, G; Waruingi, S; Musyoka, P; Ransom, J",2018,"Assessment of Management Options on Striga Infestation and Maize Grain Yield in Kenya","WEED SCIENCE","10.1017/wsc.2018.4","http://doi.org/10.1017/wsc.2018.4"
"Norsworthy, JK; Korres, NE; Bagavathiannan, MV",2018,"Weed Seedbank Management: Revisiting How Herbicides Are Evaluated","WEED SCIENCE","10.1017/wsc.2018.11","http://doi.org/10.1017/wsc.2018.11"
"Korres, NE; Norsworthy, JK; Young, BG; Reynolds, DB; Johnson, WG; Conley, SP; Smeda, RJ; Mueller, TC; Spaunhorst, DJ; Gage, KL; Loux, M; Kruger, GR; Bagayathiannan, MV",2018,"Seedbank Persistence of Palmer Amaranth (Amaranthus palmeri) and Waterhemp (Amaranthus tuberculatus) across Diverse Geographical Regions in the United States","WEED SCIENCE","10.1017/wsc.2018.27","http://doi.org/10.1017/wsc.2018.27"
"Kleemann, SGL; Gill, G",2018,"Seed Germination and Seedling Recruitment Behavior of Winged Sea Lavender (Limonium lobatum) in Southern Australia","WEED SCIENCE","10.1017/wsc.2018.16","http://doi.org/10.1017/wsc.2018.16"
"Singh, M; Bhullar, MS; Gill, G",2018,"Integrated weed management in dry-seeded rice using stale seedbeds and post sowing herbicides","FIELD CROPS RESEARCH","10.1016/j.fcr.2018.03.002","http://doi.org/10.1016/j.fcr.2018.03.002"
"Beckie, HJ; Blackshaw, RE; Leeson, JY; Stahlman, PW; Gaines, TA; Johnson, EN",2018,"Seedbank persistence, germination and early growth of glyphosate-resistant Kochia scoparia","WEED RESEARCH","10.1111/wre.12294","http://doi.org/10.1111/wre.12294"
"Macanawai, AR; Day, MD; Adkins, SW",2018,"Seed biology of Mikania micrantha in Viti Levu, Fiji","WEED RESEARCH","10.1111/wre.12299","http://doi.org/10.1111/wre.12299"
"Nishanthan, K; Sivachandiran, S; Marambe, B",2018,"Seedbank dynamics and integrated management of Parthenium hysterophorus in vegetable capsicum","CROP PROTECTION","10.1016/j.cropro.2018.01.013","http://doi.org/10.1016/j.cropro.2018.01.013"
"Somerville, GJ; Powles, SB; Walsh, MJ; Renton, M",2018,"Modeling the Impact of Harvest Weed Seed Control on Herbicide-Resistance Evolution","WEED SCIENCE","10.1017/wsc.2018.9","http://doi.org/10.1017/wsc.2018.9"
"Leon, RG; van der Laat, R",2018,"Herbicidal and Seed Dormancy Induction Activity of Fermentation Residual Vinasse","WEED SCIENCE","10.1017/wsc.2017.84","http://doi.org/10.1017/wsc.2017.84"
"Mohler, CL; Taylor, AG; DiTommaso, A; Hahn, RR; Bellinder, RR",2018,"Effects of Incorporated Rye and Hairy Vetch Cover Crop Residue on the Persistence of Weed Seeds in the Soil","WEED SCIENCE","10.1017/wsc.2017.80","http://doi.org/10.1017/wsc.2017.80"
