PT,AU,BA,BE,GP,AF,BF,CA,TI,SO,SE,BS,LA,DT,CT,CY,CL,SP,HO,DE,ID,AB,C1,RP,EM,RI,OI,FU,FX,CR,NR,TC,Z9,U1,U2,PU,PI,PA,SN,EI,BN,J9,JI,PD,PY,VL,IS,PN,SU,SI,MA,BP,EP,AR,DI,D2,EA,PG,WC,SC,GA,UT,PM,OA,HC,HP,DA
J,"Refatti, JP; de Avila, LA; Camargo, ER; Ziska, LH; Oliveira, C; Salas-Perez, R; Rouse, CE; Roma-Burgos, N",,,,"Refatti, Joao Paulo; de Avila, Luis Antonio; Camargo, Edinalvo Rabaioli; Ziska, Lewis Hans; Oliveira, Claudia; Salas-Perez, Reiofeli; Rouse, Christopher Edward; Roma-Burgos, Nilda",,,High [CO2] and Temperature Increase Resistance to Cyhalofop-Butyl in Multiple-Resistant Echinochloa colona,FRONTIERS IN PLANT SCIENCE,,,,,,,,,,,,,,,,"de Avila, Luis Antonio/E-2892-2010; Camargo, Edinalvo/I-6650-2013","de Avila, Luis Antonio/0000-0002-2532-7152; Camargo, Edinalvo/0000-0001-8025-1042",,,,,,,,,,,,1664-462X,,,,,MAY 8,2019,10,,,,,,,,529,10.3389/fpls.2019.00529,,,,,,,WOS:000467283000001,31139198,,,,
J,"Shrestha, S; Sharma, G; Burgos, NR; Tseng, TM",,,,"Shrestha, Swati; Sharma, Gourav; Burgos, Nilda Roma; Tseng, Te-Ming",,,"Response of weedy rice (Oryza spp.) germplasm from Arkansas to glyphosate, glufosinate, and flumioxazin",WEED SCIENCE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0043-1745,1550-2759,,,,MAY,2019,67,3,,,,,303,310,,10.1017/wsc.2018.92,,,,,,,WOS:000471071900006,,,,,
J,"Hazelton, ELG; Downard, R; Kettenring, KM; McCormick, MK; Whigham, DF",,,,"Hazelton, Eric L. G.; Downard, Rebekah; Kettenring, Karin M.; McCormick, Melissa K.; Whigham, Dennis F.",,,"Spatial and Temporal Variation in Brackish Wetland Seedbanks: Implications for Wetland Restoration Following Phragmites Control (vol 41, pg S68, 2018)",ESTUARIES AND COASTS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1559-2723,1559-2731,,,,MAY,2019,42,3,,,,,907,907,,10.1007/s12237-018-00500-2,,,,,,,WOS:000463827200029,,,,,
J,"Thuring, CE; Dunnett, NP",,,,"Thuring, Christine E.; Dunnett, Nigel P.",,,"Persistence, loss and gain: Characterising mature green roof vegetation by functional composition",LANDSCAPE AND URBAN PLANNING,,,,,,,,,,,,,,,,,"Thuring, Christine/0000-0002-4621-4560",,,,,,,,,,,,0169-2046,1872-6062,,,,MAY,2019,185,,,,,,228,236,,10.1016/j.landurbplan.2018.10.026,,,,,,,WOS:000463125400022,,,,,
J,"Borrell, JS; Biswas, MK; Goodwin, M; Blomme, G; Schwarzacher, T; Heslop-Harrison, JS; Wendawek, AM; Berhanu, A; Kallow, S; Janssens, S; Molla, EL; Davis, AP; Woldeyes, F; Willis, K; Demissew, S; Wilkin, P",,,,"Borrell, James S.; Biswas, Manosh K.; Goodwin, Mark; Blomme, Guy; Schwarzacher, Trude; Heslop-Harrison, J. S. (Pat); Wendawek, Abebe M.; Berhanu, Admas; Kallow, Simon; Janssens, Steven; Molla, Ermias L.; Davis, Aaron P.; Woldeyes, Feleke; Willis, Kathy; Demissew, Sebsebe; Wilkin, Paul",,,Enset in Ethiopia: a poorly characterized but resilient starch staple,ANNALS OF BOTANY,,,,,,,,,,,,,,,,"Berisso, Admas Berhanu/C-8404-2019; Borrell, James/I-7556-2019","Berisso, Admas Berhanu/0000-0002-5023-2569; Borrell, James/0000-0001-9902-7681",,,,,,,,,,,,0305-7364,1095-8290,,,,APR 11,2019,123,5,,,,,747,766,,10.1093/aob/mcy214,,,,,,,WOS:000483016800003,30715125,,,,
J,"Loureiro, AMMC; Cutler, GC; Nams, VO; White, SN",,,,"Loureiro, Alexandre M. M. C., Jr.; Cutler, G. Christopher; Nams, Vilis O.; White, Scott N.",,,"Poecilus lucublandus (Coleoptera: Carabidae) and Pterostichus mutus Do Not Feed on Hair Fescue, Red Sorrel, and Poverty Oatgrass Seeds",JOURNAL OF INSECT SCIENCE,,,,,,,,,,,,,,,,,"Miranda de Castro Loureiro Filho, Alexandre Marcos/0000-0002-7127-5365",,,,,,,,,,,,1536-2442,2250-2645,,,,APR 11,2019,19,2,,,,,,,21,10.1093/jisesa/iez027,,,,,,,WOS:000464147800001,31222322,,,,
J,"Deroulers, P; Bretagnolle, V",,,,"Deroulers, P.; Bretagnolle, V",,,"The consumption pattern of 28 species of carabid beetles (Carabidae) to a weed seed, Viola arvensis",BULLETIN OF ENTOMOLOGICAL RESEARCH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0007-4853,1475-2670,,,,APR,2019,109,2,,,,,229,235,PII S0007485318000457,10.1017/S0007485318000457,,,,,,,WOS:000463661300011,29973302,,,,
J,"Schwabe, S; Weber, EA; Gesell, S; Gruber, S; Claupein, W",,,,"Schwabe, S.; Weber, E. A.; Gesell, S.; Gruber, S.; Claupein, W.",,,Overcoming seed dormancy in oilseed rape (Brassica napus L.) with exogenous compounds,WEED RESEARCH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0043-1737,1365-3180,,,,APR,2019,59,2,,,,,119,129,,10.1111/wre.12346,,,,,,,WOS:000460310800004,,,,,
J,"Yasin, M; Rosenqvist, E; Jensen, SM; Andreasen, C",,,,"Yasin, M.; Rosenqvist, E.; Jensen, S. M.; Andreasen, C.",,,The importance of reduced light intensity on the growth and development of six weed species,WEED RESEARCH,,,,,,,,,,,,,,,,"Yasin, Muhammad/C-5785-2015; Andreasen, Christian/F-6633-2014; Jensen, Signe Marie/G-1026-2016","Yasin, Muhammad/0000-0002-5195-9524; Andreasen, Christian/0000-0003-0844-141X; Jensen, Signe Marie/0000-0002-7738-5231",,,,,,,,,,,,0043-1737,1365-3180,,,,APR,2019,59,2,,,,,130,144,,10.1111/wre.12352,,,,,,,WOS:000460310800005,,,,,
J,"Cirujeda, A; Mari, AI; Murillo, S; Aibar, J; Pardo, G; Sole-Senan, XO",,,,"Cirujeda, Alicia; Mari, Ana Isabel; Murillo, Sonia; Aibar, Joaquin; Pardo, Gabriel; Sole-Senan, Xavier-Oriol",,,May the Inclusion of a Legume Crop Change Weed Composition in Cereal Fields? Example of Sainfoin in Aragon (Spain),AGRONOMY-BASEL,,,,,,,,,,,,,,,,"Cirujeda, Alicia/J-1506-2012","Cirujeda, Alicia/0000-0001-9646-8422; Sole-Senan, Xavier Oriol/0000-0002-1533-1334",,,,,,,,,,,,2073-4395,,,,,MAR 14,2019,9,3,,,,,,,134,10.3390/agronomy9030134,,,,,,,WOS:000464381900001,,,,,
J,"Benaragama, D; Leeson, JL; Shirtliffe, SJ",,,,"Benaragama, Dilshan; Leeson, Julia L.; Shirtliffe, Steve J.",,,Understanding the Long-Term Weed Community Dynamics in Organic and Conventional Crop Rotations Using the Principal Response Curve Method,WEED SCIENCE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0043-1745,1550-2759,,,,MAR,2019,67,2,,,,,195,204,,10.1017/wsc.2018.64,,,,,,,WOS:000472582700006,,,,,
J,"San Martin, C; Long, DS; Gourlie, JA; Barroso, J",,,,"San Martin, Carolina; Long, Dan S.; Gourlie, Jennifer A.; Barroso, Judit",,,Spring crops in three year rotations reduce weed pressure in winter wheat,FIELD CROPS RESEARCH,,,,,,,,,,,,,,,,"Barroso, Judit/E-7396-2015; Barroso, Judit/C-4507-2015","Barroso, Judit/0000-0002-4453-275X; Barroso, Judit/0000-0002-4453-275X; Long, Dan/0000-0002-2752-7414; San Martin, Carolina/0000-0001-6273-2301",,,,,,,,,,,,0378-4290,1872-6852,,,,MAR 1,2019,233,,,,,,12,20,,10.1016/j.fcr.2018.12.017,,,,,,,WOS:000458939500002,,,,,
J,"Nogueira, C; Werner, C; Rodrigues, A; Caldeira, MC",,,,"Nogueira, Carla; Werner, Christiane; Rodrigues, Ana; Caldeira, Maria C.",,,A prolonged dry season and nitrogen deposition interactively affect CO2 fluxes in an annual Mediterranean grassland,SCIENCE OF THE TOTAL ENVIRONMENT,,,,,,,,,,,,,,,,"Caldeira, Maria/D-4107-2013; Nogueira, Carla/A-2540-2019; Werner, Christiane/B-2948-2009","Caldeira, Maria/0000-0002-3586-8526; Nogueira, Carla/0000-0002-6581-1678; Werner, Christiane/0000-0002-7676-9057",,,,,,,,,,,,0048-9697,1879-1026,,,,MAR 1,2019,654,,,,,,978,986,,10.1016/j.scitotenv.2018.11.091,,,,,,,WOS:000458630100089,30453267,,,,
J,"Stubbington, R; Paillex, A; England, J; Barthes, A; Bouchez, A; Rimet, F; Sanchez-Montoya, MM; Westwood, CG; Datry, T",,,,"Stubbington, Rachel; Paillex, Amael; England, Judy; Barthes, Amelie; Bouchez, Agnes; Rimet, Frederic; Mar Sanchez-Montoya, Maria; Westwood, Christian G.; Datry, Thibault",,,A comparison of biotic groups as dry-phase indicators of ecological quality in intermittent rivers and ephemeral streams,ECOLOGICAL INDICATORS,,,,,,,,,,,,,,,,"; Sanchez-Montoya, Maria Mar/K-4387-2016","Stubbington, Rachel/0000-0001-8475-5109; paillex, amael/0000-0001-9255-3662; Sanchez-Montoya, Maria Mar/0000-0001-8179-7805",,,,,,,,,,,,1470-160X,1872-7034,,,,FEB,2019,97,,,,,,165,174,,10.1016/j.ecolind.2018.09.061,,,,,,,WOS:000464891000019,,,,,
J,"Huebner, DC; Bret-Harte, MS",,,,"Huebner, Diane Christine; Bret-Harte, Marion Syndonia",,,Microsite conditions in retrogressive thaw slumps may facilitate increased seedling recruitment in the Alaskan Low Arctic,ECOLOGY AND EVOLUTION,,,,,,,,,,,,,,,,,"Huebner, Diane/0000-0003-2605-7534",,,,,,,,,,,,2045-7758,,,,,FEB,2019,9,4,,,,,1880,1897,,10.1002/ece3.4882,,,,,,,WOS:000461114900027,30847079,,,,
J,"Pollard, AT; Okubara, PA",,,,"Pollard, Anne T.; Okubara, Patricia A.",,,Real-time PCR quantification of Fusarium avenaceum in soil and seeds,JOURNAL OF MICROBIOLOGICAL METHODS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0167-7012,1872-8359,,,,FEB,2019,157,,,,,,21,30,,10.1016/j.mimet.2018.12.009,,,,,,,WOS:000459524000005,30571987,,,,
