PT	AU	BA	BE	GP	AF	BF	CA	TI	SO	SE	BS	LA	DT	CT	CY	CL	SP	HO	DE	ID	AB	C1	RP	EM	RI	OI	FU	FX	CR	NR	TC	Z9	U1	U2	PU	PI	PA	SN	EI	BN	J9	JI	PD	PY	VL	IS	PN	SU	SI	MA	BP	EP	AR	DI	D2	EA	PG	WC	SC	GA	UT	PM	OA	HC	HP	DA
J	Kelly, A; Lacroix, C				Kelly, Annika; Lacroix, Christian			Effects of seed age and dormancy-breaking treatments on the viability and germination of the Gulf of Saint Lawrence aster (Symphyotrichum laurentianum)	BOTANY																													1916-2790	1916-2804				DEC	2019	97	12					699	705		10.1139/cjb-2019-0049							WOS:000500963500007						
J	Hernandez-Esteban, A; Rolo, V; Lopez-Diaz, ML; Moreno, G				Hernandez-Esteban, A.; Rolo, V; Lopez-Diaz, M. L.; Moreno, G.			Long-term implications of sowing legume-rich mixtures for plant diversity of Mediterranean wood pastures	AGRICULTURE ECOSYSTEMS & ENVIRONMENT																Rolo, Victor/H-1713-2016	Rolo, Victor/0000-0001-5854-9512												0167-8809	1873-2305				DEC 1	2019	286								UNSP 106686	10.1016/j.agee.2019.106686							WOS:000500215400023						
J	Sellinger, T; Muller, J; Hosel, V; Tellier, A				Sellinger, Thibaut; Mueller, Johannes; Hoesel, Volker; Tellier, Aurelien			Are the better cooperators dormant or quiescent?	MATHEMATICAL BIOSCIENCES																	Sellinger, Thibaut/0000-0002-8538-7800												0025-5564	1879-3134				DEC	2019	318								UNSP 108272	10.1016/j.mbs.2019.108272							WOS:000500379500003	31647933					
J	Hattermann, D; Eckstein, RL; Elstner, C; Bernhardt-Romermann, M				Hattermann, Dirk; Eckstein, Rolf Lutz; Elstner, Christina; Bernhardt-Roemermann, Markus			The contribution of different habitat types to species diversity of Baltic uplift islands	BASIC AND APPLIED ECOLOGY																													1439-1791	1618-0089				DEC	2019	41						22	32		10.1016/j.baae.2019.09.004							WOS:000498887100003						
J	Szewczyk, TM; Lee, T; Ducey, MJ; Aiello-Lammens, ME; Bibaud, H; Allen, JM				Szewczyk, Tim M.; Lee, Tom; Ducey, Mark J.; Aiello-Lammens, Matthew E.; Bibaud, Hayley; Allen, Jenica M.			Local management in a regional context: Simulations with process-based species distribution models	ECOLOGICAL MODELLING																													0304-3800	1872-7026				DEC 1	2019	413								108827	10.1016/j.ecolmodel.2019.108827							WOS:000498292700004						
J	Miller, RG; Tangney, R; Enright, NJ; Fontaine, JB; Merritt, DJ; Ooi, MKJ; Ruthrof, KX; Miller, B				Miller, Russell G.; Tangney, Ryan; Enright, Neal J.; Fontaine, Joseph B.; Merritt, David J.; Ooi, Mark K. J.; Ruthrof, Katinka X.; Miller, Ben P.			Mechanisms of Fire Seasonality Effects on Plant Populations	TRENDS IN ECOLOGY & EVOLUTION																; Fontaine, Joseph/M-9186-2013; Ooi, Mark/A-4779-2012; Merritt, David/G-9376-2011; Miller, Ben/H-7190-2013	Miller, Russell/0000-0002-4610-0969; Fontaine, Joseph/0000-0002-6515-7864; Ooi, Mark/0000-0002-3046-0417; Merritt, David/0000-0002-3250-6861; Miller, Ben/0000-0002-8569-6697; Tangney, Ryan/0000-0002-6659-664X												0169-5347	1872-8383				DEC	2019	34	12					1104	1117		10.1016/j.tree.2019.07.009							WOS:000498155000004	31399287					
J	Bowman, DMJS; Bliss, A; Bowman, CJW; Prior, LD				Bowman, David M. J. S.; Bliss, Aimee; Bowman, Clarence J. W.; Prior, Lynda D.			Fire caused demographic attrition of the Tasmanian palaeoendemic conifer Athrotaxis cupressoides	AUSTRAL ECOLOGY																													1442-9985	1442-9993				DEC	2019	44	8					1322	1339		10.1111/aec.12789							WOS:000496331900002						
J	Bordon, NG; Nogueira, A; Leal, N; Higuchi, N				Bordon, Natali Gomes; Nogueira, Anselmo; Leal Filho, Niwton; Higuchi, Niro			Blowdown disturbance effect on the density, richness and species composition of the seed bank in Central Amazonia	FOREST ECOLOGY AND MANAGEMENT																Nogueira, Anselmo/C-3465-2013	Nogueira, Anselmo/0000-0002-8232-4636												0378-1127	1872-7042				DEC 1	2019	453								117633	10.1016/j.foreco.2019.117633							WOS:000496607200035						
J	Menezes, GSC; Cazetta, E; Dodonov, P				Cruz Menezes, Gustavo Souza; Cazetta, Eliana; Dodonov, Pavel			Vegetation structure across fire edges in a Neotropical rain forest	FOREST ECOLOGY AND MANAGEMENT																													0378-1127	1872-7042				DEC 1	2019	453								117587	10.1016/j.foreco.2019.117587							WOS:000496607200015						
J	Souza, JNE; Agostinho, CD; Ribeiro, LM; Azevedo, AM; Lopes, PSN				Nascimento e Souza, Joyce; Agostinho, Cleidiana de Oliveira; Ribeiro, Leonardo Monteiro; Azevedo, Alcinei Mistico; Nascimento Lopes, Paulo Sergio			Edaphic and climatic control of macauba palm seed bank dynamics	INDUSTRIAL CROPS AND PRODUCTS																	Ribeiro, Leonardo/0000-0001-8439-6935												0926-6690	1872-633X				DEC 1	2019	141								111802	10.1016/j.indcrop.2019.111802							WOS:000496611800063						
J	Breman, E; Detraz-Meroz, J; Terry, J; Lambelet, C				Breman, Elinor; Detraz-Meroz, Jacqueline; Terry, Janet; Lambelet, Catherine			Ex situ conservation storage potential of Saxifraga cernua (Saxifragaceae) bulbils from alpine species	BIOLOGIA																													0006-3088	1336-9563				DEC	2019	74	12					1621	1625		10.2478/s11756-019-00338-4							WOS:000495115900005						
J	Franks, SJ; Sekor, MR; Davey, S; Weis, AE				Franks, Steven J.; Sekor, Michael R.; Davey, Samuel; Weis, Arthur E.			Artificial seed aging reveals the invisible fraction: Implications for evolution experiments using the resurrection approach	EVOLUTIONARY ECOLOGY																													0269-7653	1573-8477				DEC	2019	33	6					811	824		10.1007/s10682-019-10007-2							WOS:000495301800004						
J	Edwards, CE; Albrecht, MA; Bassuner, B; Yatskievych, GA				Edwards, Christine E.; Albrecht, Matthew A.; Bassuener, Burgund; Yatskievych, George A.			Population genetic analysis reveals a predominantly selfing mating system and strong genetic structuring in a naturally fragmented, threatened plant	CONSERVATION GENETICS																													1566-0621	1572-9737				DEC	2019	20	6					1437	1448		10.1007/s10592-019-01226-9							WOS:000491084800018						
J	Liu, XS; He, YH; Xiao, YF; Wang, Y; Jiang, YH; Jiang, Y				Liu, Xiongsheng; He, Yinghui; Xiao, Yufei; Wang, Yong; Jiang, Yinghong; Jiang, Yi			Soil seed burial and competition with surrounding plants determine the emergence and development of seedling of an endangered species Horsfieldia hainanensis Merr. in China	SCIENTIFIC REPORTS																													2045-2322					NOV 29	2019	9								17970	10.1038/s41598-019-54644-7							WOS:000499945400001	31784657					
J	Godefroid, S; Van de Vyver, A				Godefroid, Sandrine; Van de Vyver, Ann			Seed germination ecology of Viola calaminaria, an endangered metallophyte with a narrow distribution	PLANT SPECIES BIOLOGY																	Godefroid, Sandrine/0000-0002-1893-9249												0913-557X	1442-1984				JAN	2020	35	1					89	96		10.1111/1442-1984.12259		NOV 2019					WOS:000499057400001						
J	Chacko, XS				Chacko, Xan Sarah			Creative Practices of Care: The Subjectivity, Agency, and Affective Labor of Preparing Seeds for Long-term Banking	CULTURE AGRICULTURE FOOD AND ENVIRONMENT																													2153-9553	2153-9561															10.1111/cuag.12237		NOV 2019					WOS:000498550600001						
J	Curry, HA				Curry, Helen Anne			Introduction: The Collection and Conservation of Plant Genetic Resources, Past and Present	CULTURE AGRICULTURE FOOD AND ENVIRONMENT																													2153-9553	2153-9561															10.1111/cuag.12240		NOV 2019					WOS:000498550100001						
J	Lewis-Jones, KE				Lewis-Jones, Kay E.			The First Step Is to Bring It Into Our Hands: Wild Seed Conservation, the Stewardship of Species Survival, and Gardening the Anthropocene at the Millennium Seed Bank Partnership	CULTURE AGRICULTURE FOOD AND ENVIRONMENT																													2153-9553	2153-9561															10.1111/cuag.12238		NOV 2019					WOS:000498550400001						
J	Peres, S				Peres, Sara			Seed Banking as Cryopower: A Cryopolitical Account of the Work of the International Board of Plant Genetic Resources, 1973-1984	CULTURE AGRICULTURE FOOD AND ENVIRONMENT																	Peres, Sara/0000-0002-9537-144X												2153-9553	2153-9561															10.1111/cuag.12236		NOV 2019					WOS:000498554200001						
J	Guan, B; Chen, M; Elsey-Quirk, T; Yang, SS; Shang, WT; Li, YZ; Tian, XY; Han, GX				Guan, Bo; Chen, Min; Elsey-Quirk, Tracy; Yang, Shanshan; Shang, Weitao; Li, Yunzhao; Tian, Xiaoyan; Han, Guangxuan			Soil seed bank and vegetation differences following channel diversion in the Yellow River Delta	SCIENCE OF THE TOTAL ENVIRONMENT																	guan, bo/0000-0003-2253-6415; Quirk, Tracy/0000-0002-2068-592X												0048-9697	1879-1026				NOV 25	2019	693								UNSP 133600	10.1016/j.scitotenv.2019.133600							WOS:000489694700108	31377360					
J	Edesi, J; Tolonen, J; Ruotsalainen, AL; Aspi, J; Haggman, H				Edesi, Jaanika; Tolonen, Jonne; Ruotsalainen, Anna Liisa; Aspi, Jouni; Haggman, Hely			Cryopreservation enables long-term conservation of critically endangered species Rubus humulifolius	BIODIVERSITY AND CONSERVATION																													0960-3115	1572-9710															10.1007/s10531-019-01883-9		NOV 2019					WOS:000496195800001						
J	Gazaix, A; Klesczewski, M; Bouchet, MA; Cartereau, M; Molina, J; Michaud, H; Muller, SD; Pirsoul, L; Gauthier, P; Grillas, P; Thompson, JD				Gazaix, Antoine; Klesczewski, Mario; Bouchet, Michel-Ange; Cartereau, Manuel; Molina, James; Michaud, Henri; Muller, Serge D.; Pirsoul, Lionel; Gauthier, Perrine; Grillas, Patrick; Thompson, John D.			A history of discoveries and disappearances of the rare annual plant Lythrum thesioides M.Bieb.: new insights into its ecology and biology	BOTANY LETTERS																													2381-8107	2381-8115															10.1080/23818107.2019.1684358		NOV 2019					WOS:000495476700001						
J	van Regteren, M; Colosimo, I; de Vries, P; van Puijenbroek, MEB; Freij, VS; Baptist, MJ; Elschot, K				van Regteren, Marin; Colosimo, Irene; de Vries, Pepijn; van Puijenbroek, Marinka Elisabeth Barbara; Freij, Victor Sebastiaan; Baptist, Martin Josephus; Elschot, Kelly			Limited seed retention during winter inhibits vegetation establishment in spring, affecting lateral marsh expansion capacity	ECOLOGY AND EVOLUTION																													2045-7758																10.1002/ece3.5781		NOV 2019					WOS:000493847400001	31871645					
J	Grewel, BJ; Gillard, MB; Futrell, CJ; Castillo, JM				Grewel, Brenda J.; Gillard, Morgane B.; Futrell, Caryn J.; Castillo, Jesus M.			Seedling Emergence from Seed Banks in Ludwigia hexapetala-Invaded Wetlands: Implications for Restoration	PLANTS-BASEL																Castillo, Jesus M/L-7071-2014	Castillo, Jesus M/0000-0003-1949-4349													2223-7747				NOV	2019	8	11							451	10.3390/plants8110451							WOS:000502258800015	31731496					
J	Beckie, HJ; Busi, R; Bagavathiannan, MV; Martin, SL				Beckie, Hugh J.; Busi, Roberto; Bagavathiannan, Muthukumar V.; Martin, Sara L.			Herbicide resistance gene flow in weeds: Under-estimated and under-appreciated	AGRICULTURE ECOSYSTEMS & ENVIRONMENT																	Beckie, Hugh/0000-0002-2659-2265												0167-8809	1873-2305				NOV 1	2019	283								UNSP 106566	10.1016/j.agee.2019.06.005							WOS:000500210500007						
J	Migicovsky, Z; Warschefsky, E; Klein, LL; Miller, AJ				Migicovsky, Zoe; Warschefsky, Emily; Klein, Laura L.; Miller, Allison J.			Using Living Germplasm Collections to Characterize, Improve, and Conserve Woody Perennials	CROP SCIENCE																	Migicovsky, Zoe/0000-0002-3931-1258												0011-183X	1435-0653				NOV-DEC	2019	59	6					2365	2380		10.2135/cropsci2019.05.0353							WOS:000498799700010						
J	Cruz, O; Garcia-Duro, J; Casal, M; Reyes, O				Cruz, Oscar; Garcia-Duro, Juan; Casal, Mercedes; Reyes, Otilia			Role of serotiny on Pinus pinaster Aiton germination and its relation to mother plant age and fire severity	IFOREST-BIOGEOSCIENCES AND FORESTRY																	Cruz, Oscar/0000-0002-7661-0724												1971-7458					NOV	2019	12						491	497		10.3832/ifor2968-012							WOS:000494639700002						
J	Morais, MC; Oliveira, P; Marchante, H; Freitas, H; Marchante, E				Morais, Maria Cristina; Oliveira, Pedro; Marchante, Helia; Freitas, Helena; Marchante, Elizabete			Is richer always better? Consequences of invaded N-rich soils for the early growth of a native and an invasive species	FLORA																Marchante, Elizabete/D-3858-2011; Marchante, Helia/I-1066-2012	Marchante, Elizabete/0000-0003-1303-7489; Marchante, Helia/0000-0002-3247-5663												0367-2530	1618-0585				NOV	2019	260								UNSP 151469	10.1016/j.flora.2019.151469							WOS:000497966600003						
J	Omomoh, B; Adekunle, V; Lawal, A; Akinbi, O				Omomoh, Bernard; Adekunle, Victor; Lawal, Amadu; Akinbi, Olarewaju			Tree species diversity and regeneration potential of soil seed bank in Akure forest reserve, Ondo state, Nigeria	TAIWANIA																Lawal, Amadu/AAF-8647-2019													0372-333X					NOV	2019	64	4					409	416		10.6165/tai.2019.64.409							WOS:000495010100008						
J	Bhatt, A; Bhat, NR; Lozano-Isla, F; Gallacher, D; Santo, A; Batista-Silva, W; Fernandes, D; Pompelli, MF				Bhatt, Arvind; Bhat, Narayana R.; Lozano-Isla, Flavio; Gallacher, David; Santo, Andrea; Batista-Silva, Willian; Fernandes, Denise; Pompelli, Marcelo F.			Germination asynchrony is increased by dual seed bank presence in two desert perennial halophytes	BOTANY																Gallacher, David/Q-3750-2016	Gallacher, David/0000-0003-2740-4884												1916-2790	1916-2804				NOV	2019	97	11					639	649		10.1139/cjb-2019-0071							WOS:000495474900006						
J	Volis, S; Dorman, M				Volis, Sergei; Dorman, Michael			Effects of soil type, period of burial and moisture levels on the germination of Oncocyclus iris seeds	PLANT ECOLOGY																													1385-0237	1573-5052				NOV	2019	220	11					1021	1028		10.1007/s11258-019-00971-8							WOS:000493679000002						
J	Grace, JL; Rideout-Hanzak, S; Stanko, R; Acosta-Martinez, V; Ortega-S, JA; Wester, DB				Grace, Joshua L.; Rideout-Hanzak, Sandra; Stanko, Randy; Acosta-Martinez, Veronica; Ortega-S, J. Alfonso; Wester, David B.			Soil seed bank characteristics in rangelands with increasing invasion of Heteropogon contortus or Eragrostis Lehmanniana	JOURNAL OF ARID ENVIRONMENTS																													0140-1963	1095-922X				NOV	2019	170								UNSP 104009	10.1016/j.jaridenv.2019.104009							WOS:000491622500010						
J	Quintana-Ascencio, PF; Koontz, SM; Ochocki, BM; Sclater, VL; L?pez-Borghesi, F; Li, HY; Menges, ES				Quintana-Ascencio, Pedro F.; Koontz, Stephanie M.; Ochocki, Brad M.; Sclater, Vivienne L.; Lopez-Borghesi, Federico; Li, Haoyu; Menges, Eric S.			Assessing the roles of seed bank, seed dispersal and historical disturbances for metapopulation persistence of a pyrogenic herb	JOURNAL OF ECOLOGY																Quintana-Ascencio, Pedro F/F-7263-2013													0022-0477	1365-2745				NOV	2019	107	6					2760	2771		10.1111/1365-2745.13206							WOS:000491025800021						
J	Schroder, R; Mohri, M; Kiehl, K				Schroeder, Roland; Mohri, Milena; Kiehl, Kathrin			AMF inoculation of green roof substrate improves plant performance but reduces drought resistance of native dry grassland species	ECOLOGICAL ENGINEERING																													0925-8574	1872-6992				NOV	2019	139								UNSP 105583	10.1016/j.ecoleng.2019.105583							WOS:000487810100009						
J	Holtmann, L; Kerler, K; Wolfgart, L; Schmidt, C; Fartmann, T				Holtmann, Lisa; Kerler, Kristel; Wolfgart, Lea; Schmidt, Carsten; Fartmann, Thomas			Habitat heterogeneity determines plant species richness in urban stormwater ponds	ECOLOGICAL ENGINEERING																													0925-8574	1872-6992				NOV	2019	138						434	443		10.1016/j.ecoleng.2019.07.035							WOS:000485660800046						
J	Cohen, O; Gamliel, A; Katan, J; Shubert, I; Guy, A; Weber, G; Riov, J				Cohen, Oded; Gamliel, Abraham; Katan, Jaacov; Shubert, Iris; Guy, Aviv; Weber, Gil; Riov, Joseph			Soil solarization based on natural soil moisture: a practical approach for reducing the seed bank of invasive plants in wetlands	NEOBIOTA																													1619-0033	1314-2488				OCT 24	2019		51					1	18		10.3897/neobiota.51.36838							WOS:000493798800001						
J	Pang, CC; Lo, WF; Yan, RWM; Hau, BCH				Pang, Chun-Chiu; Lo, Wing-Fung; Yan, Ryan Wai-Man; Hau, Billy Chi-Hang			Plant community composition on landfill sites after multiple years of ecological restoration	LANDSCAPE RESEARCH																	Hau, Billy/0000-0003-1147-6314												0142-6397	1469-9710															10.1080/01426397.2019.1674266		OCT 2019					WOS:000491623400001						
J	Bachman, SP; Wilkin, P; Reader, T; Field, R; Weber, O; Nordal, I; Demissew, S				Bachman, Steven P.; Wilkin, Paul; Reader, Tom; Field, Richard; Weber, Odile; Nordal, Inger; Demissew, Sebsebe			Extinction risk and conservation gaps for Aloe (Asphodelaceae) in the Horn of Africa	BIODIVERSITY AND CONSERVATION																	Demissew, Sebsebe/0000-0002-0123-9596; Reader, Tom/0000-0001-7586-8814; Bachman, Steven/0000-0003-1085-6075; Weber, Odile/0000-0002-0861-2752; Field, Richard/0000-0003-2613-2688												0960-3115	1572-9710															10.1007/s10531-019-01870-0		OCT 2019					WOS:000494216000001						
J	Downing, WM; Krawchuk, MA; Coop, JD; Meigs, GW; Haire, SL; Walker, RB; Whitman, E; Chong, G; Miller, C; Tortorelli, C				Downing, William M.; Krawchuk, Meg A.; Coop, Jonathan D.; Meigs, Garrett W.; Haire, Sandra L.; Walker, Ryan B.; Whitman, Ellen; Chong, Geneva; Miller, Carol; Tortorelli, Claire			How do plant communities differ between fire refugia and fire-generated early-seral vegetation?	JOURNAL OF VEGETATION SCIENCE																	Downing, William/0000-0001-8843-7642												1100-9233	1654-1103															10.1111/jvs.12814		OCT 2019					WOS:000491498700001						
J	Ortiz-Rodriguez, IA; Raventos, J; Mujica, E; Gonzalez-Hernandez, E; Vega-Pena, E; Ortega-Larrocea, P; Bonet, A; Merow, C				Ortiz-Rodriguez, Ivan A.; Raventos, Jose; Mujica, Ernesto; Gonzalez-Hernandez, Elaine; Vega-Pena, Ernesto; Ortega-Larrocea, Pilar; Bonet, Andreu; Merow, Cory			Spatiotemporal effects of Hurricane Ivan on an endemic epiphytic orchid: 10 years of follow-up	PLANT ECOLOGY & DIVERSITY																													1755-0874	1755-1668															10.1080/17550874.2019.1673495		OCT 2019					WOS:000490926800001						
J	Deroulers, P; Gauffre, B; Emeriau, S; Harismendy, A; Bretagnolle, V				Deroulers, P.; Gauffre, B.; Emeriau, S.; Harismendy, A.; Bretagnolle, V			Towards a standardized experimental protocol to investigate interactions between weed seeds and ground beetles (Carabidae, Coleoptera)	ARTHROPOD-PLANT INTERACTIONS																													1872-8855	1872-8847															10.1007/s11829-019-09721-z		OCT 2019					WOS:000491403300001						
J	Malfasi, F; Convey, P; Zaccara, S; Cannone, N				Malfasi, Francesco; Convey, Peter; Zaccara, Serena; Cannone, Nicoletta			Establishment and eradication of an alien plant species in Antarctica: Poa annua at Signy Island	BIODIVERSITY AND CONSERVATION																													0960-3115	1572-9710															10.1007/s10531-019-01877-7		OCT 2019					WOS:000490847400002						
J	Gairola, S; El-Keblawy, A				Gairola, Sanjay; El-Keblawy, Ali			Seed germination behavior of five Resedaceae species from arid Arabian desert: gibberellic acid and light effects	PLANT BIOSYSTEMS																	El-Keblawy, Ali/0000-0003-4448-6236												1126-3504	1724-5575															10.1080/11263504.2019.1674397		OCT 2019					WOS:000490914900001						
J	Porteous, G; Nesbitt, M; Kendon, JP; Prychid, CJ; Stuppy, W; Conejero, M; Ballesteros, D				Porteous, Gareth; Nesbitt, Mark; Kendon, Jonathan P.; Prychid, Christina J.; Stuppy, Wolfgang; Conejero, Maria; Ballesteros, Daniel			Assessing Extreme Seed Longevity: The Value of Historic Botanical Collections to Modern Research	FRONTIERS IN PLANT SCIENCE																													1664-462X					OCT 14	2019	10								1181	10.3389/fpls.2019.01181							WOS:000497665900001	31681348					
J	Yannelli, FA; Novoa, A; Lorenzo, P; Rodriguez, J; Le Roux, JJ				Yannelli, Florencia A.; Novoa, Ana; Lorenzo, Paula; Rodriguez, Jonatan; Le Roux, Johannes J.			No evidence for novel weapons: biochemical recognition modulates early ontogenetic processes in native species and invasive acacias	BIOLOGICAL INVASIONS																Rodriguez, Jonatan/R-5577-2016; Lorenzo, Paula/F-7903-2016	Rodriguez, Jonatan/0000-0002-3757-5276; Lorenzo, Paula/0000-0002-5102-6652; Le Roux, Johannes/0000-0001-7911-9810; Novoa, Ana/0000-0001-7092-3917; Yannelli, Florencia/0000-0003-1544-5312												1387-3547	1573-1464															10.1007/s10530-019-02110-w		OCT 2019					WOS:000489928900003						
