"Author","Year","Title","Journal","Doi","URL"
"Ma, XY; Ma, YJ; Wu, HW; Ren, XL; Jiang, WL; Ma, Y",2019,"Emergence timing affects growth and reproduction of goosegrass (Eleusine indica)","WEED TECHNOLOGY","10.1017/wet.2019.61","http://doi.org/10.1017/wet.2019.61"
"Chu, H; Zhang, CP; Dong, QM; Shang, ZH; Degen, AA; Yang, XX; Yu, Y; Yang, ZZ; Zhang, YF",2019,"The effect of grazing intensity and season on the soil seed bank and its relation with above-ground vegetation on the alpine steppe","AGRICULTURE ECOSYSTEMS & ENVIRONMENT","10.1016/j.agee.2019.106622","http://doi.org/10.1016/j.agee.2019.106622"
"Gu, RT; Song, XY; Zhou, Y; Zhang, XM; Xu, SC; Xu, S; Yue, SD; Zhang, Y; Zhu, SY",2019,"In situ investigation of the influence of desiccation on sediment seed banks and population recruitment of the seagrass Ruppia sinensis in the Yellow River Delta, China","MARINE POLLUTION BULLETIN","10.1016/j.marpolbul.2019.110620","http://doi.org/10.1016/j.marpolbul.2019.110620"
"Kelly, A; Lacroix, C",2019,"Effects of seed age and dormancy-breaking treatments on the viability and germination of the Gulf of Saint Lawrence aster (Symphyotrichum laurentianum)","BOTANY","10.1139/cjb-2019-0049","http://doi.org/10.1139/cjb-2019-0049"
"Hernandez-Esteban, A; Rolo, V; Lopez-Diaz, ML; Moreno, G",2019,"Long-term implications of sowing legume-rich mixtures for plant diversity of Mediterranean wood pastures","AGRICULTURE ECOSYSTEMS & ENVIRONMENT","10.1016/j.agee.2019.106686","http://doi.org/10.1016/j.agee.2019.106686"
"Sellinger, T; Muller, J; Hosel, V; Tellier, A",2019,"Are the better cooperators dormant or quiescent?","MATHEMATICAL BIOSCIENCES","10.1016/j.mbs.2019.108272","http://doi.org/10.1016/j.mbs.2019.108272"
"Hattermann, D; Eckstein, RL; Elstner, C; Bernhardt-Romermann, M",2019,"The contribution of different habitat types to species diversity of Baltic uplift islands","BASIC AND APPLIED ECOLOGY","10.1016/j.baae.2019.09.004","http://doi.org/10.1016/j.baae.2019.09.004"
"Szewczyk, TM; Lee, T; Ducey, MJ; Aiello-Lammens, ME; Bibaud, H; Allen, JM",2019,"Local management in a regional context: Simulations with process-based species distribution models","ECOLOGICAL MODELLING","10.1016/j.ecolmodel.2019.108827","http://doi.org/10.1016/j.ecolmodel.2019.108827"
"Miller, RG; Tangney, R; Enright, NJ; Fontaine, JB; Merritt, DJ; Ooi, MKJ; Ruthrof, KX; Miller, B",2019,"Mechanisms of Fire Seasonality Effects on Plant Populations","TRENDS IN ECOLOGY & EVOLUTION","10.1016/j.tree.2019.07.009","http://doi.org/10.1016/j.tree.2019.07.009"
"Bowman, DMJS; Bliss, A; Bowman, CJW; Prior, LD",2019,"Fire caused demographic attrition of the Tasmanian palaeoendemic conifer Athrotaxis cupressoides","AUSTRAL ECOLOGY","10.1111/aec.12789","http://doi.org/10.1111/aec.12789"
"Bordon, NG; Nogueira, A; Leal, N; Higuchi, N",2019,"Blowdown disturbance effect on the density, richness and species composition of the seed bank in Central Amazonia","FOREST ECOLOGY AND MANAGEMENT","10.1016/j.foreco.2019.117633","http://doi.org/10.1016/j.foreco.2019.117633"
"Menezes, GSC; Cazetta, E; Dodonov, P",2019,"Vegetation structure across fire edges in a Neotropical rain forest","FOREST ECOLOGY AND MANAGEMENT","10.1016/j.foreco.2019.117587","http://doi.org/10.1016/j.foreco.2019.117587"
"Souza, JNE; Agostinho, CD; Ribeiro, LM; Azevedo, AM; Lopes, PSN",2019,"Edaphic and climatic control of macauba palm seed bank dynamics","INDUSTRIAL CROPS AND PRODUCTS","10.1016/j.indcrop.2019.111802","http://doi.org/10.1016/j.indcrop.2019.111802"
"Breman, E; Detraz-Meroz, J; Terry, J; Lambelet, C",2019,"Ex situ conservation storage potential of Saxifraga cernua (Saxifragaceae) bulbils from alpine species","BIOLOGIA","10.2478/s11756-019-00338-4","http://doi.org/10.2478/s11756-019-00338-4"
"Franks, SJ; Sekor, MR; Davey, S; Weis, AE",2019,"Artificial seed aging reveals the invisible fraction: Implications for evolution experiments using the resurrection approach","EVOLUTIONARY ECOLOGY","10.1007/s10682-019-10007-2","http://doi.org/10.1007/s10682-019-10007-2"
"Edwards, CE; Albrecht, MA; Bassuner, B; Yatskievych, GA",2019,"Population genetic analysis reveals a predominantly selfing mating system and strong genetic structuring in a naturally fragmented, threatened plant","CONSERVATION GENETICS","10.1007/s10592-019-01226-9","http://doi.org/10.1007/s10592-019-01226-9"
"Liu, XS; He, YH; Xiao, YF; Wang, Y; Jiang, YH; Jiang, Y",2019,"Soil seed burial and competition with surrounding plants determine the emergence and development of seedling of an endangered species Horsfieldia hainanensis Merr. in China","SCIENTIFIC REPORTS","10.1038/s41598-019-54644-7","http://doi.org/10.1038/s41598-019-54644-7"
"Godefroid, S; Van de Vyver, A",2020,"Seed germination ecology of Viola calaminaria, an endangered metallophyte with a narrow distribution","PLANT SPECIES BIOLOGY","10.1111/1442-1984.12259","http://doi.org/10.1111/1442-1984.12259"
"Chacko, XS",NA,"Creative Practices of Care: The Subjectivity, Agency, and Affective Labor of Preparing Seeds for Long-term Banking","CULTURE AGRICULTURE FOOD AND ENVIRONMENT","10.1111/cuag.12237","http://doi.org/10.1111/cuag.12237"
"Curry, HA",NA,"Introduction: The Collection and Conservation of Plant Genetic Resources, Past and Present","CULTURE AGRICULTURE FOOD AND ENVIRONMENT","10.1111/cuag.12240","http://doi.org/10.1111/cuag.12240"
"Lewis-Jones, KE",NA,"The First Step Is to Bring It Into Our Hands: Wild Seed Conservation, the Stewardship of Species Survival, and Gardening the Anthropocene at the Millennium Seed Bank Partnership","CULTURE AGRICULTURE FOOD AND ENVIRONMENT","10.1111/cuag.12238","http://doi.org/10.1111/cuag.12238"
"Peres, S",NA,"Seed Banking as Cryopower: A Cryopolitical Account of the Work of the International Board of Plant Genetic Resources, 1973-1984","CULTURE AGRICULTURE FOOD AND ENVIRONMENT","10.1111/cuag.12236","http://doi.org/10.1111/cuag.12236"
"Guan, B; Chen, M; Elsey-Quirk, T; Yang, SS; Shang, WT; Li, YZ; Tian, XY; Han, GX",2019,"Soil seed bank and vegetation differences following channel diversion in the Yellow River Delta","SCIENCE OF THE TOTAL ENVIRONMENT","10.1016/j.scitotenv.2019.133600","http://doi.org/10.1016/j.scitotenv.2019.133600"
"Edesi, J; Tolonen, J; Ruotsalainen, AL; Aspi, J; Haggman, H",NA,"Cryopreservation enables long-term conservation of critically endangered species Rubus humulifolius","BIODIVERSITY AND CONSERVATION","10.1007/s10531-019-01883-9","http://doi.org/10.1007/s10531-019-01883-9"
"Gazaix, A; Klesczewski, M; Bouchet, MA; Cartereau, M; Molina, J; Michaud, H; Muller, SD; Pirsoul, L; Gauthier, P; Grillas, P; Thompson, JD",NA,"A history of discoveries and disappearances of the rare annual plant Lythrum thesioides M.Bieb.: new insights into its ecology and biology","BOTANY LETTERS","10.1080/23818107.2019.1684358","http://doi.org/10.1080/23818107.2019.1684358"
"van Regteren, M; Colosimo, I; de Vries, P; van Puijenbroek, MEB; Freij, VS; Baptist, MJ; Elschot, K",NA,"Limited seed retention during winter inhibits vegetation establishment in spring, affecting lateral marsh expansion capacity","ECOLOGY AND EVOLUTION","10.1002/ece3.5781","http://doi.org/10.1002/ece3.5781"
"Grewel, BJ; Gillard, MB; Futrell, CJ; Castillo, JM",2019,"Seedling Emergence from Seed Banks in Ludwigia hexapetala-Invaded Wetlands: Implications for Restoration","PLANTS-BASEL","10.3390/plants8110451","http://doi.org/10.3390/plants8110451"
"Beckie, HJ; Busi, R; Bagavathiannan, MV; Martin, SL",2019,"Herbicide resistance gene flow in weeds: Under-estimated and under-appreciated","AGRICULTURE ECOSYSTEMS & ENVIRONMENT","10.1016/j.agee.2019.06.005","http://doi.org/10.1016/j.agee.2019.06.005"
"Migicovsky, Z; Warschefsky, E; Klein, LL; Miller, AJ",2019,"Using Living Germplasm Collections to Characterize, Improve, and Conserve Woody Perennials","CROP SCIENCE","10.2135/cropsci2019.05.0353","http://doi.org/10.2135/cropsci2019.05.0353"
"Cruz, O; Garcia-Duro, J; Casal, M; Reyes, O",2019,"Role of serotiny on Pinus pinaster Aiton germination and its relation to mother plant age and fire severity","IFOREST-BIOGEOSCIENCES AND FORESTRY","10.3832/ifor2968-012","http://doi.org/10.3832/ifor2968-012"
"Morais, MC; Oliveira, P; Marchante, H; Freitas, H; Marchante, E",2019,"Is richer always better? Consequences of invaded N-rich soils for the early growth of a native and an invasive species","FLORA","10.1016/j.flora.2019.151469","http://doi.org/10.1016/j.flora.2019.151469"
"Omomoh, B; Adekunle, V; Lawal, A; Akinbi, O",2019,"Tree species diversity and regeneration potential of soil seed bank in Akure forest reserve, Ondo state, Nigeria","TAIWANIA","10.6165/tai.2019.64.409","http://doi.org/10.6165/tai.2019.64.409"
"Bhatt, A; Bhat, NR; Lozano-Isla, F; Gallacher, D; Santo, A; Batista-Silva, W; Fernandes, D; Pompelli, MF",2019,"Germination asynchrony is increased by dual seed bank presence in two desert perennial halophytes","BOTANY","10.1139/cjb-2019-0071","http://doi.org/10.1139/cjb-2019-0071"
"Volis, S; Dorman, M",2019,"Effects of soil type, period of burial and moisture levels on the germination of Oncocyclus iris seeds","PLANT ECOLOGY","10.1007/s11258-019-00971-8","http://doi.org/10.1007/s11258-019-00971-8"
"Grace, JL; Rideout-Hanzak, S; Stanko, R; Acosta-Martinez, V; Ortega-S, JA; Wester, DB",2019,"Soil seed bank characteristics in rangelands with increasing invasion of Heteropogon contortus or Eragrostis Lehmanniana","JOURNAL OF ARID ENVIRONMENTS","10.1016/j.jaridenv.2019.104009","http://doi.org/10.1016/j.jaridenv.2019.104009"
"Quintana-Ascencio, PF; Koontz, SM; Ochocki, BM; Sclater, VL; L?pez-Borghesi, F; Li, HY; Menges, ES",2019,"Assessing the roles of seed bank, seed dispersal and historical disturbances for metapopulation persistence of a pyrogenic herb","JOURNAL OF ECOLOGY","10.1111/1365-2745.13206","http://doi.org/10.1111/1365-2745.13206"
"Schroder, R; Mohri, M; Kiehl, K",2019,"AMF inoculation of green roof substrate improves plant performance but reduces drought resistance of native dry grassland species","ECOLOGICAL ENGINEERING","10.1016/j.ecoleng.2019.105583","http://doi.org/10.1016/j.ecoleng.2019.105583"
"Holtmann, L; Kerler, K; Wolfgart, L; Schmidt, C; Fartmann, T",2019,"Habitat heterogeneity determines plant species richness in urban stormwater ponds","ECOLOGICAL ENGINEERING","10.1016/j.ecoleng.2019.07.035","http://doi.org/10.1016/j.ecoleng.2019.07.035"
"Cohen, O; Gamliel, A; Katan, J; Shubert, I; Guy, A; Weber, G; Riov, J",2019,"Soil solarization based on natural soil moisture: a practical approach for reducing the seed bank of invasive plants in wetlands","NEOBIOTA","10.3897/neobiota.51.36838","http://doi.org/10.3897/neobiota.51.36838"
"Pang, CC; Lo, WF; Yan, RWM; Hau, BCH",NA,"Plant community composition on landfill sites after multiple years of ecological restoration","LANDSCAPE RESEARCH","10.1080/01426397.2019.1674266","http://doi.org/10.1080/01426397.2019.1674266"
"Bachman, SP; Wilkin, P; Reader, T; Field, R; Weber, O; Nordal, I; Demissew, S",NA,"Extinction risk and conservation gaps for Aloe (Asphodelaceae) in the Horn of Africa","BIODIVERSITY AND CONSERVATION","10.1007/s10531-019-01870-0","http://doi.org/10.1007/s10531-019-01870-0"
"Downing, WM; Krawchuk, MA; Coop, JD; Meigs, GW; Haire, SL; Walker, RB; Whitman, E; Chong, G; Miller, C; Tortorelli, C",NA,"How do plant communities differ between fire refugia and fire-generated early-seral vegetation?","JOURNAL OF VEGETATION SCIENCE","10.1111/jvs.12814","http://doi.org/10.1111/jvs.12814"
"Ortiz-Rodriguez, IA; Raventos, J; Mujica, E; Gonzalez-Hernandez, E; Vega-Pena, E; Ortega-Larrocea, P; Bonet, A; Merow, C",NA,"Spatiotemporal effects of Hurricane Ivan on an endemic epiphytic orchid: 10 years of follow-up","PLANT ECOLOGY & DIVERSITY","10.1080/17550874.2019.1673495","http://doi.org/10.1080/17550874.2019.1673495"
"Deroulers, P; Gauffre, B; Emeriau, S; Harismendy, A; Bretagnolle, V",NA,"Towards a standardized experimental protocol to investigate interactions between weed seeds and ground beetles (Carabidae, Coleoptera)","ARTHROPOD-PLANT INTERACTIONS","10.1007/s11829-019-09721-z","http://doi.org/10.1007/s11829-019-09721-z"
"Malfasi, F; Convey, P; Zaccara, S; Cannone, N",NA,"Establishment and eradication of an alien plant species in Antarctica: Poa annua at Signy Island","BIODIVERSITY AND CONSERVATION","10.1007/s10531-019-01877-7","http://doi.org/10.1007/s10531-019-01877-7"
"Gairola, S; El-Keblawy, A",NA,"Seed germination behavior of five Resedaceae species from arid Arabian desert: gibberellic acid and light effects","PLANT BIOSYSTEMS","10.1080/11263504.2019.1674397","http://doi.org/10.1080/11263504.2019.1674397"
"Porteous, G; Nesbitt, M; Kendon, JP; Prychid, CJ; Stuppy, W; Conejero, M; Ballesteros, D",2019,"Assessing Extreme Seed Longevity: The Value of Historic Botanical Collections to Modern Research","FRONTIERS IN PLANT SCIENCE","10.3389/fpls.2019.01181","http://doi.org/10.3389/fpls.2019.01181"
"Yannelli, FA; Novoa, A; Lorenzo, P; Rodriguez, J; Le Roux, JJ",NA,"No evidence for novel weapons: biochemical recognition modulates early ontogenetic processes in native species and invasive acacias","BIOLOGICAL INVASIONS","10.1007/s10530-019-02110-w","http://doi.org/10.1007/s10530-019-02110-w"
"Ferreiro, N; Satti, P; Gonzalez-Polo, M; Mazzarino, MJ",NA,"Composts promote short-term rehabilitation in a Patagonian roadside affected by tephra deposition","RESTORATION ECOLOGY","10.1111/rec.13034","http://doi.org/10.1111/rec.13034"
"Zhang, XM; Lin, HY; Song, XY; Xu, SC; Yue, SD; Gu, RT; Xu, S; Zhu, SY; Zhao, YJ; Zhang, SY; Han, GX; Wang, AD; Sun, T; Zhou, Y",2019,"A unique meadow of the marine angiosperm Zostera japonica, covering a large area in the turbid intertidal Yellow River Delta, China","SCIENCE OF THE TOTAL ENVIRONMENT","10.1016/j.scitotenv.2019.05.320","http://doi.org/10.1016/j.scitotenv.2019.05.320"
"Jerney, J; Ahonen, SA; Hakanen, P; Suikkanen, S; Kremp, A",2019,"Generalist Life Cycle Aids Persistence of Alexandrium ostenfeldii (Dinophyceae) in Seasonal Coastal Habitats of the Baltic Sea(1)","JOURNAL OF PHYCOLOGY","10.1111/jpy.12919","http://doi.org/10.1111/jpy.12919"
"Tejeda-Landero, VM; Sanchez-Velasquez, LR; Viveros-Viveros, H; Aparicio-Renteria, A; Flores-Peredo, R",2019,"SEED BANK FORMATION AND REMOVAL OF PINUS HARTWEGII (PINACEAE) SEEDS ALONG AN ALTITUDINAL GRADIENT IN THE COFRE DE PEROTE NATIONAL PARK, VERACRUZ, MEXICO","BOTANICAL SCIENCES","10.17129/botsci.2204","http://doi.org/10.17129/botsci.2204"
"Calva-Soto, K; Pavon, NP; Sanchez-Gonzalez, A; Moreno, CE; Ramirez-Marcial, N",2019,"BIODIVERSITY RELATIONSHIPS IN THREE STRUCTURAL COMPONENTS IN A BEECH FOREST OF FAGUS GRANDIFOLIA SUBSP. MEXICANA","BOTANICAL SCIENCES","10.17129/botsci.2260","http://doi.org/10.17129/botsci.2260"
"Mira, S; Nadarajan, J; Liu, U; Gonzalez-Benito, ME; Pritchard, HW",2019,"Lipid Thermal Fingerprints of Long-term Stored Seeds of Brassicaceae","PLANTS-BASEL","10.3390/plants8100414","http://doi.org/10.3390/plants8100414"
"Rengifo-Faiffer, MC; Arana, C",2019,"Fossorial birds help shape the plant community of a Peruvian desert","JOURNAL OF ARID ENVIRONMENTS","10.1016/j.jaridenv.2019.104011","http://doi.org/10.1016/j.jaridenv.2019.104011"
"Hess, MCM; Buisson, E; Mesleard, F",2019,"Soil compaction enhances the impact of microwave heating on seedling emergence","FLORA","10.1016/j.flora.2019.151457","http://doi.org/10.1016/j.flora.2019.151457"
"Sajna, N; Sipek, M; Sustar-Vozlic, J; Kaligaric, M",2019,"Germination behavior of the extremely rare Hladnikia pastinacifolia Rchb. (Apiaceae) - a Pleistocene in situ survivor","ACTA BOTANICA CROATICA","10.2478/botcro-2019-0017","http://doi.org/10.2478/botcro-2019-0017"
"Graf, W; Kleinn, C; Schall, P; Nauss, T; Detsch, F; Magdon, P",2019,"Analyzing the relationship between historic canopy dynamics and current plant species diversity in the herb layer of temperate forests using long-term Landsat time series","REMOTE SENSING OF ENVIRONMENT","10.1016/j.rse.2019.111305","http://doi.org/10.1016/j.rse.2019.111305"
"Nyantakyi-Frimpong, H",2019,"Visualizing politics: A feminist political ecology and participatory GIS approach to understanding smallholder farming, climate change vulnerability, and seed bank failures in Northern Ghana","GEOFORUM","10.1016/j.geoforum.2019.05.014","http://doi.org/10.1016/j.geoforum.2019.05.014"
"Pena-Angulo, D; Khorchani, M; Errea, P; Lasanta, T; Martinez-Arnaiz, M; Nadal-Romero, E",2019,"Factors explaining the diversity of land cover in abandoned fields in a Mediterranean mountain area","CATENA","10.1016/j.catena.2019.05.010","http://doi.org/10.1016/j.catena.2019.05.010"
"Mi, JX; Liu, R; Zhang, SL; Hou, HP; Yang, YJ; Chen, FY; Zhang, LM",2019,"Vegetation patterns on a landslide after five years of natural restoration in the Loess Plateau mining area in China","ECOLOGICAL ENGINEERING","10.1016/j.ecoleng.2019.05.022","http://doi.org/10.1016/j.ecoleng.2019.05.022"
"Wang, GD; Otte, ML; Jiang, M; Wang, M; Yuan, YZ; Xue, ZS",2019,"Does the element composition of soils of restored wetlands resemble natural wetlands?","GEODERMA","10.1016/j.geoderma.2019.05.032","http://doi.org/10.1016/j.geoderma.2019.05.032"
"Tomiolo, S; Bilton, MC; Tielborger, K",2020,"Plant community stability results from shifts in species assemblages following whole community transplants across climates","OIKOS","10.1111/oik.06536","http://doi.org/10.1111/oik.06536"
"Skalova, H; Moravcova, L; Cuda, J; Pysek, P",2019,"Seed-bank dynamics of native and invasive Impatiens species during a five-year field experiment under various environmental conditions","NEOBIOTA","10.3897/neobiota.50.34827","http://doi.org/10.3897/neobiota.50.34827"
"Abeli, T; Dalrymple, S; Godefroid, S; Mondoni, A; Muller, JV; Rossi, G; Orsenigo, S",NA,"Ex situ collections and their potential for the restoration of extinct plants","CONSERVATION BIOLOGY","10.1111/cobi.13391","http://doi.org/10.1111/cobi.13391"
"Lanta, V; Mudrak, O; Liancourt, P; Bartos, M; Chlumska, Z; Dvorsky, M; Pusztaiova, Z; Munzbergova, Z; Sebek, P; Cizek, L; Dolezal, J",2019,"Active management promotes plant diversity in lowland forests: A landscape-scale experiment with two types of clearings","FOREST ECOLOGY AND MANAGEMENT","10.1016/j.foreco.2019.05.073","http://doi.org/10.1016/j.foreco.2019.05.073"
"Nguyen, V; Buckley, YM; Salguero-Gomez, R; Wardle, GM",2019,"Consequences of neglecting cryptic life stages from demographic models","ECOLOGICAL MODELLING","10.1016/j.ecolmodel.2019.108723","http://doi.org/10.1016/j.ecolmodel.2019.108723"
"Pittman, KB; Barney, JN; Cahoon, CW; Flessner, ML",2019,"Influence of hairy vetch seed germination and maturation on weediness in subsequent crops","WEED RESEARCH","10.1111/wre.12380","http://doi.org/10.1111/wre.12380"
"Dittberner, H; Becker, C; Jiao, WB; Schneeberger, K; Holzel, N; Tellier, A; de Meaux, J",2019,"Strengths and potential pitfalls of hay transfer for ecological restoration revealed by RAD-seq analysis in floodplain Arabis species","MOLECULAR ECOLOGY","10.1111/mec.15194","http://doi.org/10.1111/mec.15194"
"Thapa, R; Thoms, MC; Reid, M; Parsons, M",NA,"Do adaptive cycles of floodplain vegetation response to inundation differ among vegetation communities?","RIVER RESEARCH AND APPLICATIONS","10.1002/rra.3538","http://doi.org/10.1002/rra.3538"
"Gu, X; Cen, Y; Guo, LY; Li, CH; Yuan, H; Xu, ZW; Jiang, GM",2019,"Responses of weed community, soil nutrients, and microbes to different weed management practices in a fallow field in Northern China","PEERJ","10.7717/peerj.7650","http://doi.org/10.7717/peerj.7650"
"Qian, F; Song, HY; Chen, M; Zeng, JQ; Dang, CQ; Tao, JP",2019,"Multivariate path analysis of the relationships between seedling regeneration and environmental factors beneath a dwarf bamboo understory","ECOLOGY AND EVOLUTION","10.1002/ece3.5548","http://doi.org/10.1002/ece3.5548"
"Scott, JK; Batchelor, KL; Webber, BL",2019,"Long term monitoring of recruitment dynamics determines eradication feasibility for an introduced coastal weed","NEOBIOTA","10.3897/neobiota.50.35070","http://doi.org/10.3897/neobiota.50.35070"
"Kriska, DJ; Krebs, RA",2019,"Response by Three Plant Indicator Groups of Upland Habitat to Manipulation of a Black Oak (Quercus velutina) Sand Barren","NATURAL AREAS JOURNAL","10.3375/043.039.0407","http://doi.org/10.3375/043.039.0407"
"Nsikani, MM; Gaertner, M; Kritzinger-Klopper, S; Ngubane, NP; Esler, KJ",2019,"Secondary invasion after clearing invasive Acacia saligna in the South African fynbos","SOUTH AFRICAN JOURNAL OF BOTANY","10.1016/j.sajb.2019.07.034","http://doi.org/10.1016/j.sajb.2019.07.034"
"Mndela, M; Madakadze, IC; Nherera-Chokuda, F; Dube, S",2019,"Dynamics of the soil seed bank over the short-term after bush clearing in a semi-arid shrubland in Springbokvlakte thornveld of South Africa","SOUTH AFRICAN JOURNAL OF BOTANY","10.1016/j.sajb.2019.07.033","http://doi.org/10.1016/j.sajb.2019.07.033"
"Gomez-Barreiro, P; Otieno, V; Mattana, E; Castillo-Lorenzo, E; Omondi, W; Ulian, T",2019,"Interaction of functional and environmental traits on seed germination of the multipurpose tree Flacourtia indica","SOUTH AFRICAN JOURNAL OF BOTANY","10.1016/j.sajb.2019.08.013","http://doi.org/10.1016/j.sajb.2019.08.013"
"Jakobsen, K; Jensen, JA; Bitarafan, Z; Andreasen, C",2019,"Killing Weed Seeds with Exhaust Gas from a Combine Harvester","AGRONOMY-BASEL","10.3390/agronomy9090544","http://doi.org/10.3390/agronomy9090544"
"Laboissiere, AK",2019,"Collect, Save, Adapt: Making and Unmaking Ex Situ Worlds","CULTURAL STUDIES REVIEW","10.5130/csr.v24i1.6380","http://doi.org/10.5130/csr.v24i1.6380"
"Luck, L; Bellairs, SM; Rossiter-Rachor, NA",2019,"Residual herbicide treatments reduce Andropogon gayanus (Gamba Grass) recruitment for mine site restoration in northern Australia","ECOLOGICAL MANAGEMENT & RESTORATION","10.1111/emr.12376","http://doi.org/10.1111/emr.12376"
"Sumudunie, HGS; Jayasuriya, KMGG",2019,"Seed dormancy and germination of seven rice field weeds from Sri Lanka","TAIWANIA","10.6165/tai.2019.64.221","http://doi.org/10.6165/tai.2019.64.221"
"Chau, MM; Chambers, T; Weisenberger, L; Keir, M; Kroessig, TI; Wolkis, D; Kam, R; Yoshinaga, AY",2019,"Seed freeze sensitivity and ex situ longevity of 295 species in the native Hawaiian flora","AMERICAN JOURNAL OF BOTANY","10.1002/ajb2.1351","http://doi.org/10.1002/ajb2.1351"
"Perkins, LB; Ducheneaux, KR; Hatfield, G; Abella, SR",2019,"Badlands, Seed Banks, and Community Disassembly","RANGELAND ECOLOGY & MANAGEMENT","10.1016/j.rama.2019.05.004","http://doi.org/10.1016/j.rama.2019.05.004"
"Shen, SC; Xui, GF; Lii, DY; Jini, GM; Liu, SF; Clements, DR; Yang, YX; Rao, J; Chen, AD; Zhang, FD; Zhu, XC",2019,"Ipomoea batatas (sweet potato), a promising replacement control crop for the invasive alien plant Ageratina adenophora (Asteraceae) in China","MANAGEMENT OF BIOLOGICAL INVASIONS","10.3391/mbi.2019.10.3.10","http://doi.org/10.3391/mbi.2019.10.3.10"
"Nascimento, GD; Pereira, JAA; Barros, DA; Silva, RA; Ferreira, JB; Moraes, RP; Borges, LAC",2019,"Space distribution of species in topsoil: implications to recovery of mining areas","NATIVA","10.31413/nativa.v7i5.6937","http://doi.org/10.31413/nativa.v7i5.6937"
"Dalrymple, SE; Abeli, T",2019,"Ex situ seed banks and the IUCN Red List (vol 5, pg 122, 2019)","NATURE PLANTS","10.1038/s41477-019-0512-y","http://doi.org/10.1038/s41477-019-0512-y"
"Castle, S; Rejmankova, E; Foley, J; Parmenter, S",2019,"Hydrologic alterations impact plant litter decay rate and ecosystem resilience in Mojave wetlands","RESTORATION ECOLOGY","10.1111/rec.12959","http://doi.org/10.1111/rec.12959"
"Campbell, S; Vogler, W; Brazier, D; Vitelli, J; Brooks, S",2019,"Weed leucaena and its significance, implications and control","TROPICAL GRASSLANDS-FORRAJES TROPICALES","10.17138/TGFT(7)280-289","http://doi.org/10.17138/TGFT(7)280-289"
